nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
711.1,0,1,0,0,0,1,0,0,0,1,0,0,5,6,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0
697.22,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,1,0,0,0
718.28,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
704.4,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
832.8,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
823.6,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
625.06,0,1,0,0,1,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
707.98,0,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0
446.5,1,0,0,0,0,0,1,1,0,0,1,0,5,2,0,2,0,0,0,1,5,0,1,2,0,0,0,1,1,0,0,0
684.34,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,1,0,0,0,1,6,1,0,0,0,0,0,1,1,0,0,0
292.6,1,0,0,0,0,0,1,1,0,0,1,0,3,6,0,0,0,0,0,0,5,3,0,0,0,0,0,1,1,0,0,0
737.26,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
619.14,0,1,0,0,1,0,1,1,0,0,1,0,8,1,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,0
707.36,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,1,0,0,0,0,7,1,0,1,0,0,0,0,1,0,0,0
711.84,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
650.9,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0
741.48,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
684.3,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0
585.56,0,1,0,0,1,0,1,0,0,0,1,0,7,2,0,0,0,0,0,1,2,9,0,0,0,0,0,1,0,0,1,0
