NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
486.8,1,0,0,0,0,0,1,1,0,0,1,0,5,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
683.65,1,0,0,0,1,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,1,0
675.56,0,1,0,0,1,0,1,0,0,0,1,0,9,2,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1
599.88,0,1,0,0,1,0,1,0,1,1,0,0,7,1,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,1,0
672.8,0,1,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,5,2,2,1,0,0,1,0,1,0,0,0
721.0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
356.0,1,0,0,0,0,0,1,0,0,0,1,0,3,4,0,0,0,0,0,0,3,4,0,1,0,1,0,0,1,0,0,0
556.58,0,1,0,0,1,0,1,1,0,1,0,0,6,3,0,0,0,0,0,1,0,2,2,2,0,0,0,1,0,0,1,0
482.1,1,0,0,0,0,1,0,0,0,0,1,0,6,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1
647.7,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0
660.38,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,1,0
629.4,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
675.46,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
634.06,0,1,0,0,0,0,1,1,0,0,1,0,13,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,1,0,0,0
796.75,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0
684.34,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,1,0,0,0,1,6,1,0,0,0,0,0,1,1,0,0,0
562.08,0,1,0,0,1,0,1,1,0,0,1,0,3,4,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0
741.1,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0
738.78,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0
