feature,importancia_media
periodo_3_disciplinas_aprovadas,0.08396298845661342
nota_ingresso,0.08204056003035422
periodo_2_disciplinas_aprovadas,0.05809541827925167
periodo_2_disciplinas_reprovadas,0.04256978152308371
periodo_1_disciplinas_reprovadas,0.0037105462740273927
periodo_2_disciplinas_trancadas,0.0013668418141152205
periodo_1_disciplinas_aprovadas,0.0009093578059238538
tipo_ingresso_pism,0.0
tipo_ingresso_sisu,0.0
cota_renda,0.0
cota_escola_publica,0.0
cota_ampla_concorrencia,0.0
cota_racial,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_pcd,0.0
genero_outros,0.0
periodo_1_disciplinas_trancadas,0.0
periodo_1_disciplinas_ri,0.0
genero_feminino,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_ae,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
genero_masculino,0.0
periodo_2_disciplinas_ri,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_ae,0.0
periodo_3_disciplinas_reprovadas,0.0
periodo_3_disciplinas_ri,0.0
periodo_3_disciplinas_trancadas,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_ae,0.0
etnia_branca,0.0
etnia_outra,0.0
etnia_parda,0.0
etnia_preta,0.0
