NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
575.3,1,0,0,0,0,1,0,0,0,1,0,0,1,1,5,0,0,0,0,0,1,2,2,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0
328.5,1,0,0,0,0,0,1,0,0,0,1,0,8,1,2,0,0,0,0,0,1,5,0,5,0,0,0,1,3,5,0,0,0,0,0,1,1,0,0,0
578.64,0,1,0,0,0,0,1,1,0,0,1,0,4,3,0,0,0,0,0,0,6,0,0,2,0,0,0,1,5,0,0,2,0,0,0,1,1,0,0,0
670.66,0,1,0,0,0,1,0,0,0,1,0,0,9,2,0,0,0,0,0,0,5,6,0,0,0,0,0,1,6,2,0,0,0,0,0,1,1,0,0,0
625.06,0,1,0,0,1,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
592.8,1,0,0,0,0,1,0,0,0,0,1,0,6,2,1,0,0,0,0,0,2,4,0,2,0,0,0,1,8,0,0,0,0,0,0,1,0,0,1,0
599.72,0,1,0,0,1,0,1,1,0,1,0,0,3,2,2,0,0,0,0,0,1,1,2,3,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1
629.4,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
741.48,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,1,0,0,0
845.9,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,0,0
