feature,importancia_media
NOTA_INGRESSO,0.08251970263960375
periodo_2_disciplinas_aprovadas,0.08244676456019696
periodo_3_disciplinas_aprovadas,0.08072136439062763
periodo_2_disciplinas_reprovadas,0.06819707248321973
periodo_1_disciplinas_aprovadas,0.04879250418955921
TIPO_INGRESSO_PISM,0.03990057568145832
periodo_2_disciplinas_trancadas,0.022771613784680424
cota_ampla_concorrencia,0.0185811424872882
periodo_2_disciplinas_ri,0.01676814088202471
periodo_2_bolsa_remunerada,0.015922879712831746
periodo_1_disciplinas_reprovadas,0.013529724178379736
periodo_3_disciplinas_trancadas,0.0106064622576995
genero_masculino,0.010374405792321977
TIPO_INGRESSO_SISU,0.009580926314406607
cota_racial,0.007880607337330026
cota_renda,0.0061188249766871055
periodo_3_bolsa_remunerada,0.004237278857979183
periodo_2_AE,0.0036615955085984443
periodo_3_AE,0.0031021339774525243
cota_escola_publica,0.0023955114436034724
genero_feminino,0.0015436686593268988
periodo_1_disciplinas_trancadas,0.001390988031702422
periodo_3_disciplinas_reprovadas,0.00132186984847082
etnia_OUTRA,0.0012304855804695944
periodo_1_disciplinas_ri,0.000798166174005273
etnia_PARDA,0.0006025703855374863
etnia_BRANCA,0.00043731257633456013
etnia_PRETA,0.00024209620826707253
periodo_3_bolsa_n_remunerada,0.00019620832363000654
periodo_1_bolsa_remunerada,0.00015666381667798536
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
genero_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_AE,0.0
cota_pcd,0.0
periodo_3_disciplinas_ri,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
