feature,importancia_media
periodo_4_disciplinas_aprovadas,0.054696876626015856
periodo_4_disciplinas_reprovadas,0.017335047336504216
periodo_1_disciplinas_aprovadas,0.01563411669528171
NOTA_INGRESSO,0.01406039116498212
TIPO_INGRESSO_SISU,0.01338242410593658
periodo_3_AE,0.013024299778427239
periodo_2_disciplinas_trancadas,0.011448893446976433
periodo_3_disciplinas_aprovadas,0.010980043992577578
periodo_2_disciplinas_aprovadas,0.01097534201368601
periodo_2_disciplinas_reprovadas,0.010707684224653109
periodo_4_bolsa_remunerada,0.00873463304191599
periodo_4_disciplinas_trancadas,0.00822234520421154
periodo_4_disciplinas_ri,0.006970589228869209
periodo_3_disciplinas_ri,0.004558469372450074
TIPO_INGRESSO_PISM,0.004556998065693306
periodo_3_disciplinas_trancadas,0.004239986549428441
periodo_4_AE,0.003983632770398555
periodo_1_AE,0.0036902668975390507
periodo_3_bolsa_remunerada,0.003300023533461704
cota_escola_publica,0.0030948919348737815
cota_renda,0.003062972705022364
periodo_1_disciplinas_reprovadas,0.002799019523154837
periodo_3_disciplinas_reprovadas,0.0027972914985189097
etnia_PARDA,0.0022628007189630403
etnia_OUTRA,0.0017193186810569587
etnia_PRETA,0.0011158351135101626
periodo_2_AE,0.0009517021244846803
periodo_3_bolsa_n_remunerada,0.0008008111195567655
periodo_1_disciplinas_trancadas,0.0007826748544780061
periodo_2_bolsa_remunerada,0.0006440710520486254
periodo_1_disciplinas_ri,0.0006362766291986101
cota_ampla_concorrencia,0.000590978720549021
periodo_2_disciplinas_ri,0.0004658023487125539
periodo_2_bolsa_n_remunerada,0.000289419269604271
cota_pcd,0.00010022449605710187
periodo_1_bolsa_n_remunerada,3.5863144280852685e-05
genero_masculino,0.0
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
genero_outros,0.0
cota_racial,0.0
genero_feminino,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_bolsa_n_remunerada,0.0
etnia_BRANCA,0.0
