feature,importancia_media
periodo_4_disciplinas_aprovadas,0.1568723124799909
nota_ingresso,0.09739455871858899
periodo_2_disciplinas_reprovadas,0.044951107429347444
periodo_4_bolsa_remunerada,0.028253219221626595
periodo_2_disciplinas_trancadas,0.027282459254839898
periodo_4_disciplinas_trancadas,0.02601937101612229
periodo_1_disciplinas_aprovadas,0.025045094307562483
periodo_3_disciplinas_reprovadas,0.02337718160145613
periodo_1_disciplinas_reprovadas,0.020740067063237857
periodo_3_disciplinas_ri,0.013853475961576609
periodo_3_disciplinas_aprovadas,0.013015227390935075
periodo_2_disciplinas_aprovadas,0.006725698666688001
cota_renda,0.004861623604413882
periodo_3_bolsa_remunerada,0.004529530201585413
etnia_branca,0.004178488117587296
cota_escola_publica,0.0040967357682962354
cota_ampla_concorrencia,0.003932821146623357
cota_racial,0.0033724541429277968
periodo_4_disciplinas_reprovadas,0.0026804831977667257
etnia_parda,0.0024299568417509407
periodo_4_disciplinas_ri,0.0023937067789184057
periodo_1_disciplinas_trancadas,0.002212831557977162
tipo_ingresso_pism,0.0020059589848212753
genero_feminino,0.001962785248656753
periodo_3_bolsa_n_remunerada,0.0016840969567240127
periodo_2_disciplinas_ri,0.0015369212179631672
tipo_ingresso_sisu,0.0013780221872211642
periodo_2_bolsa_remunerada,0.0012451557030853646
periodo_4_ae,0.0012252845301058632
periodo_1_disciplinas_ri,0.0010485689358544932
periodo_2_ae,0.0009517303620257859
periodo_3_disciplinas_trancadas,0.0009386347571936634
periodo_3_ae,0.000789595107270132
genero_masculino,0.0007319866141484468
periodo_4_bolsa_n_remunerada,0.0006906540031641996
etnia_preta,0.0005529618037462696
periodo_1_ae,0.00012064056279477177
periodo_2_bolsa_n_remunerada,1.9149283768072373e-05
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_pcd,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
etnia_outra,0.0
