NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
686.34,0,1,0,0,0,1,0,0,0,0,1,0,5,4,0,0,0,0,0,0,2,2,1,2,0,0,0,0,1,0,0,0
688.06,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
502.2,1,0,0,0,0,1,0,0,0,1,0,0,3,5,0,0,0,0,0,0,2,7,1,1,0,0,0,0,0,0,1,0
677.8,0,1,0,0,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,0,3,2,1,3,0,0,0,0,1,0,0,0
555.6,1,0,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0
672.34,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0
645.16,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,0,0,1,0
481.2,1,0,0,0,0,0,1,1,0,1,0,0,9,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,0,0,0
643.0,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
746.1,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0
692.65,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0
478.9,1,0,0,0,0,0,1,1,0,1,0,0,4,5,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,0
394.6,1,0,0,0,1,0,1,0,0,0,1,0,3,7,1,0,0,0,0,0,5,4,2,0,0,0,0,0,0,0,0,1
663.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
687.72,0,1,0,0,0,0,1,0,0,0,1,0,5,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
649.6,0,1,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,0,0,0,1,3,0,1,0,1,0,0,1,0,0,0
