feature,importancia_media
periodo_2_disciplinas_aprovadas,0.1244296095852189
periodo_1_disciplinas_aprovadas,0.014255479551336806
periodo_1_disciplinas_reprovadas,0.01382820322241616
periodo_2_disciplinas_reprovadas,0.009241793070418523
NOTA_INGRESSO,0.005461148974795547
cota_racial,0.0
cota_ampla_concorrencia,0.0
TIPO_INGRESSO_PISM,0.0
TIPO_INGRESSO_SISU,0.0
cota_renda,0.0
cota_escola_publica,0.0
cota_pcd,0.0
genero_masculino,0.0
genero_outros,0.0
genero_feminino,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_OUTROS,0.0
periodo_1_disciplinas_trancadas,0.0
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_AE,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_disciplinas_ri,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_AE,0.0
etnia_BRANCA,0.0
etnia_OUTRA,0.0
etnia_PARDA,0.0
etnia_PRETA,0.0
