nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
608.75,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0
629.02,0,1,0,0,1,0,1,1,0,1,0,0,7,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0
693.16,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
643.0,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
705.6,1,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,7,1,0,0,0,1,0,1,1,0,0,0
619.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
495.6,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,0,1,0
681.26,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,1,0,0,0
673.44,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,8,0,0,0,0,0,1,1,1,0,0,0
639.86,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0
650.75,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
699.52,0,1,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
518.95,1,0,0,0,0,0,1,0,0,0,1,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
630.1,0,1,0,0,1,0,1,0,0,1,0,0,2,1,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0
280.1,1,0,0,0,1,0,1,0,0,0,1,0,3,6,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,1,0
771.0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0
561.38,0,1,0,0,1,0,1,0,0,0,1,0,8,0,1,0,0,0,0,1,5,0,1,2,0,0,0,1,0,0,0,1
659.6,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
654.52,0,1,0,0,1,0,1,0,0,0,1,0,8,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0
547.4,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
705.54,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
569.4,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,1,0,0,1,0,0,0
465.1,1,0,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
199.8,1,0,0,0,0,0,1,1,0,1,0,0,5,3,0,0,0,0,0,1,7,2,0,0,0,0,0,1,0,0,1,0
646.48,0,1,0,0,0,0,1,0,0,0,1,0,5,2,0,0,0,0,0,0,5,2,0,1,0,0,0,0,1,0,0,0
656.98,0,1,0,0,1,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,2,5,0,1,0,0,1,0,0,0,1,0
838.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
367.2,1,0,0,0,0,0,1,1,0,1,0,0,1,8,0,2,0,0,0,1,6,1,2,0,0,0,0,1,0,0,1,0
623.4,0,1,0,0,1,0,1,0,0,0,1,0,4,3,0,0,0,1,0,0,6,1,0,0,0,1,0,0,0,0,1,0
238.7,1,0,0,0,1,0,1,0,0,0,1,0,4,3,0,0,0,0,0,0,6,3,0,0,0,0,0,1,0,0,0,1
686.38,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
700.5,1,0,0,0,0,0,1,1,0,0,1,0,4,3,0,0,0,0,0,1,6,3,0,0,0,0,0,1,1,0,0,0
761.6,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,0,0
612.9,1,0,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,0,0,0,4,3,0,1,0,0,0,0,1,0,0,0
