feature,importancia_media
periodo_2_disciplinas_aprovadas,0.11577965258336612
periodo_1_disciplinas_aprovadas,0.06362147358027394
NOTA_INGRESSO,0.04479756657862386
TIPO_INGRESSO_PISM,0.04020650911394219
periodo_2_disciplinas_trancadas,0.028943110788428712
etnia_PARDA,0.025864080749847366
cota_racial,0.019067557221549247
periodo_2_bolsa_remunerada,0.012684091664168283
periodo_2_AE,0.011851774370478201
periodo_1_disciplinas_reprovadas,0.010738250102288906
periodo_2_disciplinas_reprovadas,0.010476948637372955
cota_ampla_concorrencia,0.007992053424330504
genero_masculino,0.006634101501361581
etnia_PRETA,0.0031333877528276935
cota_renda,0.0030604644610967304
periodo_2_disciplinas_ri,0.003055674213250028
periodo_1_disciplinas_ri,0.002679027936534642
periodo_1_AE,0.002596633582705753
etnia_BRANCA,0.0011929045008895007
periodo_1_disciplinas_trancadas,0.000224575614060477
etnia_OUTRA,0.0001622545964232517
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_SISU,0.0
cota_escola_publica,0.0
genero_feminino,0.0
cota_pcd,0.0
genero_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
