feature,importancia_media
periodo_2_disciplinas_aprovadas,0.11151128627545932
tipo_ingresso_pism,0.03178995593850648
nota_ingresso,0.025680797932367546
periodo_1_disciplinas_aprovadas,0.020867712605066896
cota_renda,0.019760613859757425
periodo_1_disciplinas_reprovadas,0.018055252043443132
etnia_parda,0.013640323101248486
periodo_2_ae,0.011891579047633057
cota_racial,0.010491492241520989
periodo_2_disciplinas_ri,0.010417822519127873
etnia_branca,0.009272132527712921
periodo_2_disciplinas_reprovadas,0.006249463571343219
periodo_2_disciplinas_trancadas,0.005063058032310145
genero_masculino,0.004880775160555415
etnia_preta,0.0031664283879863603
tipo_ingresso_sisu,0.003009525679465128
cota_ampla_concorrencia,0.0025430369961742297
periodo_2_bolsa_remunerada,0.0023989029854472547
periodo_1_ae,0.0014058137780091856
periodo_1_disciplinas_ri,0.0012379256920101438
periodo_2_bolsa_n_remunerada,0.0009928131212914337
periodo_1_disciplinas_trancadas,0.0009625362155852309
periodo_1_bolsa_remunerada,0.00015052662048624726
etnia_outra,0.0001110556055607813
tipo_ingresso_vestibular,0.0
genero_feminino,0.0
cota_pcd,0.0
genero_outros,0.0
cota_escola_publica,0.0
tipo_ingresso_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
