feature,importancia_media
periodo_4_disciplinas_aprovadas,0.08439181927300037
periodo_2_disciplinas_aprovadas,0.04736907486264978
NOTA_INGRESSO,0.023727181863705992
periodo_1_disciplinas_reprovadas,0.020402324297577306
periodo_4_disciplinas_reprovadas,0.019961492737124317
periodo_3_disciplinas_aprovadas,0.01619035746815644
etnia_PARDA,0.011791519500887679
cota_ampla_concorrencia,0.010189863975175543
periodo_4_disciplinas_trancadas,0.009476171563596956
cota_racial,0.008709243718768259
periodo_1_disciplinas_aprovadas,0.007396433884215396
periodo_2_disciplinas_reprovadas,0.0069667105029209905
genero_masculino,0.006963583016251925
periodo_2_disciplinas_trancadas,0.0039158371789279325
genero_feminino,0.0036693638155741093
cota_escola_publica,0.0033645281752307256
periodo_3_disciplinas_reprovadas,0.002661734596916371
cota_renda,0.0024182071632483687
periodo_2_AE,0.0018880029629029316
periodo_4_AE,0.0018779125000434312
periodo_3_disciplinas_trancadas,0.0017209397200914655
periodo_4_bolsa_remunerada,0.001207445547894436
TIPO_INGRESSO_PISM,0.001174942393590006
periodo_2_disciplinas_ri,0.0004991419647993027
etnia_BRANCA,0.00046810431371900873
periodo_1_disciplinas_trancadas,0.0004482730298063158
periodo_3_disciplinas_ri,0.0003489873540492088
periodo_3_AE,0.0002757494182904018
etnia_PRETA,0.00021015597036392407
TIPO_INGRESSO_SISU,0.00015589012289383923
periodo_4_disciplinas_ri,1.0586048872414813e-05
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
periodo_1_disciplinas_ri,0.0
genero_outros,0.0
cota_pcd,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_1_AE,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_bolsa_n_remunerada,0.0
etnia_OUTRA,0.0
