nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
425.1,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,9,0,0,0,0,1,0,1,1,0,0,0
569.4,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,2,0,1,0,0,5,0,0,1,0,1,0,0,9,0,0,0,0,1,0,0,1,0,0,0
333.8,1,0,0,0,1,0,1,1,0,1,0,0,5,1,0,1,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,9,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,0
715.16,0,1,0,0,0,1,0,0,0,1,0,0,6,0,1,0,0,1,0,0,6,1,0,0,0,1,0,0,6,1,0,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0
646.3,0,1,0,0,1,0,1,0,0,0,1,0,2,4,0,1,0,0,0,0,5,0,0,0,0,0,0,1,7,0,0,0,0,1,0,1,7,0,0,0,0,1,0,1,0,0,1,0
670.1,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
545.8,1,0,0,0,0,1,0,0,0,1,0,0,2,3,2,0,0,0,0,0,2,2,0,3,0,1,0,0,2,3,0,1,0,1,0,0,5,1,1,0,0,1,0,0,1,0,0,0
451.5,1,0,0,0,0,0,1,0,0,0,1,0,3,2,1,1,0,0,0,0,5,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0
280.1,1,0,0,0,1,0,1,0,0,0,1,0,3,6,0,0,0,0,0,0,5,2,2,0,0,0,0,0,7,4,0,0,0,0,0,0,5,1,2,1,0,1,0,0,0,0,1,0
627.18,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
394.6,1,0,0,0,1,0,1,0,0,0,1,0,3,7,1,0,0,0,0,0,5,4,2,0,0,0,0,0,7,5,0,0,0,1,0,1,11,1,0,0,0,0,0,1,0,0,0,1
471.4,1,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,4,4,2,3,0,0,0,0,2,4,3,1,0,0,0,0,0,0,1,0
656.98,0,1,0,0,1,0,1,0,0,0,1,0,3,3,0,0,0,0,0,0,2,5,0,1,0,0,1,0,7,2,0,1,0,0,1,0,6,3,0,0,0,0,1,0,0,0,1,0
463.6,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,1,0,0,0
630.1,0,1,0,0,1,0,1,0,0,1,0,0,2,1,4,0,0,0,0,0,3,1,0,0,0,0,0,0,3,2,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0
518.95,1,0,0,0,0,0,1,0,0,0,1,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0
681.26,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,8,0,0,1,0,0,0,1,1,0,0,0
641.86,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,1,0,0,0,1,8,0,0,0,0,1,0,1,7,0,0,0,0,0,1,1,8,0,0,0,0,0,0,1,0,0,1,0
724.74,0,1,0,0,0,1,0,0,0,0,1,0,7,2,0,0,0,0,0,0,8,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
594.1,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,7,0,0,0,0,1,0,1,8,0,0,0,0,1,0,1,0,0,1,0
623.4,0,1,0,0,1,0,1,0,0,0,1,0,4,3,0,0,0,1,0,0,6,1,0,0,0,1,0,0,7,0,0,0,0,1,0,0,8,0,0,1,0,1,0,0,0,0,1,0
599.9,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0
383.4,1,0,0,0,1,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,1
654.9,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,8,0,0,2,0,1,0,0,0,0,1,0
370.3,1,0,0,0,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0
633.7,0,1,0,0,0,0,1,0,0,1,0,0,5,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,1,0,0,0
680.38,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,7,0,0,1,0,1,0,1,1,0,0,0
707.9,0,1,0,0,0,1,0,0,0,0,1,0,21,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
651.7,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,11,0,0,1,0,0,0,1,0,0,1,0
618.8,1,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0
547.4,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,8,0,0,2,0,0,1,0,0,0,1,0
685.1,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,1
838.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
692.7,1,0,0,0,0,1,0,0,0,1,0,0,8,1,0,0,0,0,0,0,7,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
677.9,0,1,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,1,0,0,0,0,1,1,9,0,0,0,0,0,1,1,0,0,1,0
502.2,1,0,0,0,0,1,0,0,0,1,0,0,3,5,0,0,0,0,0,0,2,7,1,1,0,0,0,0,9,2,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1,0
620.98,0,1,0,0,1,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0
473.3,1,0,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,0,1,1,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,10,0,0,0,0,0,1,1,0,0,1,0
619.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0
601.95,1,0,0,0,0,0,1,1,0,1,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
659.16,0,1,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,4,0,0,2,0,0,0,1,7,0,0,3,0,1,0,1,0,0,0,1
639.86,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,7,0,0,0,0,1,0,1,8,0,0,0,0,1,0,1,1,0,0,0
465.1,1,0,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
657.86,0,1,0,0,0,0,1,0,0,1,0,0,3,2,4,1,0,0,0,0,3,3,0,0,0,0,0,0,7,0,0,0,0,1,0,0,3,4,0,0,0,1,0,0,1,0,0,0
545.2,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,5,0,0,0,0,1,0,0,0
705.6,1,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,7,1,0,0,0,1,0,1,6,0,0,0,0,0,1,1,7,0,0,0,0,0,1,1,1,0,0,0
642.3,0,1,0,0,1,0,1,1,0,0,1,0,6,1,0,0,0,0,0,1,8,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,9,0,0,0,0,0,0,1,0,0,1,0
331.6,1,0,0,0,1,0,1,1,0,0,1,0,4,6,1,0,0,0,0,1,6,4,0,0,0,0,0,1,7,3,0,0,0,0,0,1,11,1,0,2,0,1,0,1,0,0,1,0
424.0,1,0,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,7,0,0,1,0,1,0,1,7,0,0,0,0,1,0,1,0,0,1,0
597.64,0,1,0,0,1,0,1,1,0,0,1,0,3,5,0,0,0,0,0,0,3,4,3,0,0,0,0,0,6,3,0,0,0,0,0,0,7,3,2,2,0,0,0,0,0,0,1,0
702.52,0,1,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,1,2,2,1,0,0,0,0,5,1,0,0,0,0,1,0,6,2,0,0,0,0,0,0,1,0,0,0
685.6,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,1,0,0,0,0,7,1,1,0,0,0,0,0,4,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
622.62,0,1,0,0,1,0,1,1,0,1,0,0,2,3,1,1,0,0,0,0,3,2,1,1,0,1,0,1,5,2,0,0,0,1,0,1,4,0,2,2,0,1,0,0,0,0,1,0
804.05,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
671.4,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,5,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0
758.6,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0
699.52,0,1,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,3,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
645.16,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,1,0,0,0,1,7,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0
692.12,0,1,0,0,0,0,1,0,0,1,0,0,6,3,0,0,0,0,0,0,9,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0
612.9,1,0,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,0,0,0,4,3,0,1,0,0,0,0,3,3,0,0,0,0,0,0,7,0,0,2,0,0,0,1,1,0,0,0
712.16,0,1,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,3,2,0,1,0,1,0,0,4,2,0,0,0,1,0,0,8,0,0,0,0,1,0,0,1,0,0,0
595.7,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,1,9,0,0,0,0,0,0,1,5,0,0,0,0,0,1,1,9,0,0,1,0,0,1,1,0,0,0,1
707.72,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,15,0,0,0,0,0,1,0,1,0,0,0
792.9,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
552.2,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,1,4,0,1,5,0,0,0,1,2,2,0,1,0,0,0,1,3,1,0,7,0,0,0,1,1,0,0,0
583.5,1,0,0,0,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
286.1,1,0,0,0,1,0,1,1,0,0,1,0,2,4,0,0,0,0,0,0,3,4,0,1,0,1,0,0,6,2,0,0,0,1,0,0,6,1,0,0,0,1,0,0,0,0,1,0
652.1,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,6,1,0,1,0,0,0,0,8,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,1
367.2,1,0,0,0,0,0,1,1,0,1,0,0,1,8,0,2,0,0,0,1,6,1,2,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,8,0,0,0,1,0,0,1,0
