feature,importancia_media
periodo_3_disciplinas_aprovadas,0.10225468568447156
periodo_1_disciplinas_aprovadas,0.07175720984201071
NOTA_INGRESSO,0.07059831279810501
periodo_2_disciplinas_aprovadas,0.057472740322038106
periodo_3_bolsa_remunerada,0.043578852156914
periodo_2_disciplinas_reprovadas,0.026491073560067503
periodo_1_disciplinas_reprovadas,0.02238312992795725
periodo_3_disciplinas_reprovadas,0.020440715381195802
periodo_2_disciplinas_trancadas,0.019356911135838765
etnia_BRANCA,0.013297350527113115
cota_renda,0.00885226367687223
periodo_3_bolsa_n_remunerada,0.00686057361093132
etnia_PARDA,0.006796691594224105
periodo_3_disciplinas_ri,0.005006783073419996
periodo_2_disciplinas_ri,0.004277200329018064
periodo_1_AE,0.004129382929053685
periodo_1_disciplinas_trancadas,0.00364569042923013
periodo_3_disciplinas_trancadas,0.003618082137479397
genero_masculino,0.0029986953394662485
TIPO_INGRESSO_SISU,0.0026813723229606235
cota_escola_publica,0.0025871211302045814
cota_ampla_concorrencia,0.0025588391678268434
genero_feminino,0.002290573923049642
periodo_1_disciplinas_ri,0.0013960970859572919
periodo_2_bolsa_n_remunerada,0.0012966391110819315
cota_racial,0.001001150246592374
periodo_1_bolsa_n_remunerada,0.0009700927324767988
TIPO_INGRESSO_PISM,0.0009690037009205367
periodo_3_AE,0.0005572717322786383
periodo_2_bolsa_remunerada,0.000542522156900735
periodo_2_AE,0.00036382717838449744
etnia_PRETA,0.00030780821700232997
periodo_1_bolsa_remunerada,9.253677135577466e-05
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_OUTROS,0.0
genero_outros,0.0
cota_pcd,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
etnia_OUTRA,0.0
