feature,importancia_media
periodo_3_disciplinas_aprovadas,0.19663597530347734
periodo_2_disciplinas_trancadas,0.11556647756877472
NOTA_INGRESSO,0.08502059814305152
cota_renda,0.02691832988612069
cota_ampla_concorrencia,0.02146930596209903
periodo_3_disciplinas_reprovadas,0.01833687841946972
TIPO_INGRESSO_PISM,0.0162072484557978
cota_escola_publica,0.01186651892925442
periodo_1_disciplinas_aprovadas,0.008150128609676842
TIPO_INGRESSO_SISU,0.004077447041019985
periodo_2_disciplinas_aprovadas,0.003724018701125696
periodo_3_disciplinas_ri,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_AE,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_disciplinas_trancadas,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_AE,0.0
etnia_BRANCA,0.0
etnia_OUTRA,0.0
etnia_PARDA,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_AE,0.0
periodo_2_disciplinas_ri,0.0
periodo_2_disciplinas_reprovadas,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_disciplinas_trancadas,0.0
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_reprovadas,0.0
genero_outros,0.0
genero_feminino,0.0
genero_masculino,0.0
cota_pcd,0.0
cota_racial,0.0
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
etnia_PRETA,0.0
