feature,importancia_media
periodo_3_disciplinas_aprovadas,0.06676104005127967
cota_ampla_concorrencia,0.05131786722890536
periodo_2_disciplinas_trancadas,0.0483003005790734
nota_ingresso,0.045383508679566274
tipo_ingresso_pism,0.03308647809489491
periodo_3_disciplinas_reprovadas,0.022953131232669694
periodo_1_disciplinas_reprovadas,0.012154004783659578
periodo_1_disciplinas_aprovadas,0.011038324032837894
periodo_2_disciplinas_reprovadas,0.01074434265618493
periodo_2_disciplinas_aprovadas,0.010393056523482803
cota_escola_publica,0.007650576195169261
periodo_3_disciplinas_ri,0.006936122217086672
periodo_3_bolsa_remunerada,0.006713158170257391
cota_renda,0.006146759935463741
tipo_ingresso_sisu,0.003205893977626543
etnia_parda,0.002839148483844918
etnia_branca,0.0014577024499021363
periodo_3_disciplinas_trancadas,0.0012582818589944862
periodo_2_disciplinas_ri,0.0008903554001658865
periodo_2_ae,0.000837664576065921
periodo_1_disciplinas_trancadas,0.000570325555478828
periodo_3_bolsa_n_remunerada,0.0005634767212286595
periodo_3_ae,0.000433865020655071
genero_masculino,0.0004267492760998536
periodo_2_bolsa_n_remunerada,0.0003315682088208463
periodo_2_bolsa_remunerada,0.0003308893949521613
cota_racial,0.00031865769974460977
periodo_1_bolsa_n_remunerada,0.0001633180804702628
etnia_preta,6.506848063983816e-05
genero_feminino,6.228586664036007e-05
periodo_1_disciplinas_ri,4.6501082029889955e-05
etnia_outra,2.7668265267085455e-05
periodo_1_bolsa_remunerada,1.8274563997997537e-05
periodo_1_ae,1.6315134985512543e-05
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
genero_outros,0.0
periodo_1_disciplinas_outros_status,0.0
cota_pcd,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
