feature,importancia_media
periodo_3_disciplinas_aprovadas,0.1593275220864631
NOTA_INGRESSO,0.10792777150082608
periodo_2_disciplinas_trancadas,0.06775580249452846
periodo_1_disciplinas_aprovadas,0.03909848778691074
periodo_1_disciplinas_reprovadas,0.01956319467090475
periodo_2_disciplinas_aprovadas,0.018490690838458116
periodo_4_disciplinas_aprovadas,0.01736620619413885
periodo_2_disciplinas_reprovadas,0.01335357173199515
cota_renda,0.011439747868622608
periodo_3_disciplinas_reprovadas,0.008920893076842587
periodo_3_disciplinas_trancadas,0.0074148350985902755
periodo_4_disciplinas_reprovadas,0.0064282476122065465
TIPO_INGRESSO_PISM,0.005933698883235398
periodo_4_disciplinas_trancadas,0.005750838338110105
periodo_3_disciplinas_ri,0.0036532793222481116
genero_masculino,0.003169012990009728
genero_feminino,0.0028453308912671565
periodo_2_bolsa_n_remunerada,0.002812428311191759
cota_ampla_concorrencia,0.0025504472257170487
etnia_PARDA,0.0025387283578492087
TIPO_INGRESSO_SISU,0.0018830463513000995
periodo_2_bolsa_remunerada,0.001655578949978747
periodo_2_disciplinas_ri,0.000917291627127387
periodo_4_AE,0.0009172084485738754
periodo_4_disciplinas_ri,0.0009110296960843332
periodo_3_bolsa_remunerada,0.0006167902113239128
periodo_3_AE,0.0006005157159029108
periodo_4_bolsa_n_remunerada,0.0005350648978221372
periodo_1_disciplinas_trancadas,0.0005007809643406241
periodo_2_AE,0.0004993150171557099
cota_racial,0.00048645204285669775
cota_escola_publica,0.00048544289067537204
periodo_4_bolsa_remunerada,0.0002494298756133568
periodo_1_AE,0.00011719176672717608
etnia_OUTRA,8.728831141450735e-05
etnia_PRETA,6.669345013358829e-05
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
TIPO_INGRESSO_OUTROS,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_disciplinas_ri,0.0
etnia_BRANCA,0.0
genero_outros,0.0
cota_pcd,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
