feature,importancia_media
periodo_4_disciplinas_aprovadas,0.1562856784031834
periodo_3_disciplinas_aprovadas,0.13771659413298312
cota_ampla_concorrencia,0.0848940186505419
tipo_ingresso_pism,0.08255697776491779
periodo_2_disciplinas_trancadas,0.0491311227812877
nota_ingresso,0.04087309968408216
periodo_4_disciplinas_reprovadas,0.031546616679030366
periodo_1_disciplinas_aprovadas,0.027465776140907998
periodo_2_disciplinas_aprovadas,0.0154169671254465
periodo_3_disciplinas_reprovadas,0.013217800287167876
etnia_branca,0.009582851101764586
periodo_3_disciplinas_ri,0.003053144836603495
periodo_2_disciplinas_reprovadas,0.0029608957467412464
periodo_3_bolsa_remunerada,0.0021908530694002173
periodo_4_disciplinas_trancadas,0.001722748016708486
cota_renda,0.0014099009311746853
etnia_parda,0.001348392641239803
periodo_2_bolsa_remunerada,0.001266004926824331
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_reprovadas,0.0
genero_outros,0.0
periodo_1_disciplinas_trancadas,0.0
genero_feminino,0.0
cota_pcd,0.0
cota_escola_publica,0.0
tipo_ingresso_sisu,0.0
cota_racial,0.0
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
genero_masculino,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_3_disciplinas_trancadas,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_ae,0.0
periodo_1_ae,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_3_ae,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_4_disciplinas_ri,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_bolsa_remunerada,0.0
periodo_4_ae,0.0
periodo_4_bolsa_n_remunerada,0.0
etnia_outra,0.0
etnia_preta,0.0
