nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
552.86,0,1,0,0,1,0,1,1,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
679.52,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,0,0,1,0
729.74,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0
652.32,0,1,0,0,0,1,0,0,0,1,0,0,2,3,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0
664.26,0,1,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,2,2,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0
691.82,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
634.4,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,5,2,0,0,0,0,1,0,1,0,0,0
915.5,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
741.08,0,1,0,0,0,1,0,0,0,1,0,0,24,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
692.22,0,1,0,0,0,0,1,1,0,1,0,0,5,2,0,0,0,0,0,1,7,1,0,0,0,0,0,1,3,2,0,0,0,1,0,1,3,2,1,0,0,1,0,1,1,0,0,0
566.74,0,1,0,0,1,0,1,1,0,0,1,0,0,4,2,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
616.78,0,1,0,0,1,0,1,1,0,1,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0
629.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,6,0,0,1,0,0,1,0,6,0,0,0,0,0,1,0,0,0,1,0
876.5,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,6,0,0,1,0,1,0,0,4,1,0,0,0,1,0,0,1,0,0,0
497.5,1,0,0,0,0,1,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
636.25,1,0,0,0,1,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1
854.7,1,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,0,1,0
688.5,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,0
599.4,1,0,0,0,0,0,1,0,0,1,0,0,5,2,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,0,0
735.64,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,1,0,0,0
750.26,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,0,0
347.0,1,0,0,0,1,0,1,1,0,1,0,0,3,4,0,0,0,0,0,0,1,5,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,0
682.46,0,1,0,0,1,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
663.18,0,1,0,0,1,0,1,1,0,1,0,0,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,3,2,0,0,0,1,0,1,5,1,0,0,0,1,0,1,0,0,1,0
718.08,0,1,0,0,0,1,0,0,0,1,0,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0
738.66,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
696.44,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,4,2,0,0,0,1,0,0,1,0,0,0
736.26,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
725.58,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0
596.3,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,2,2,0,0,0,0,0,1,1,5,0,1,0,0,0,1,0,0,1,0
740.78,0,1,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0
576.95,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
651.1,1,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,7,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,1,0
722.3,0,1,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,5,1,0,1,0,1,0,0,2,2,0,0,0,0,1,0,3,1,0,1,0,0,1,0,1,0,0,0
682.52,0,1,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,5,2,0,0,0,0,0,1,1,0,0,0
677.72,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0,0,1,0
440.5,1,0,0,0,1,0,1,0,0,1,0,0,3,5,0,0,0,0,0,0,1,0,5,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0
927.75,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0
457.1,1,0,0,0,0,0,1,1,0,1,0,0,6,1,0,0,0,0,0,0,4,3,0,1,0,0,0,1,6,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,1,0,0,0
720.52,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0
