NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
740.78,0,1,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0
915.5,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
691.0,0,1,0,0,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0
677.72,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0,0,1,0
679.52,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,4,3,0,0,0,0,0,1,0,0,1,0
758.62,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
546.5,1,0,0,0,0,1,0,0,0,1,0,0,4,4,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0
643.9,1,0,0,0,0,0,1,1,0,1,0,0,6,1,0,0,0,0,0,0,5,2,0,1,0,0,0,1,4,3,0,0,0,0,0,1,5,1,0,1,0,0,0,1,1,0,0,0
538.3,1,0,0,0,0,0,1,0,0,1,0,0,7,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0
750.26,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,0,0
725.58,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0
743.2,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0
634.4,1,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,5,2,0,0,0,0,1,0,1,0,0,0
844.0,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0
936.35,1,0,0,0,0,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
497.5,1,0,0,0,0,1,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
722.3,0,1,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,5,1,0,1,0,1,0,0,2,2,0,0,0,0,1,0,3,1,0,1,0,0,1,0,1,0,0,0
664.26,0,1,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,2,2,1,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0
566.74,0,1,0,0,1,0,1,1,0,0,1,0,0,4,2,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
729.74,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0
927.75,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0
696.44,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,4,2,0,0,0,1,0,0,1,0,0,0
552.86,0,1,0,0,1,0,1,1,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
652.32,0,1,0,0,0,1,0,0,0,1,0,0,2,3,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0
685.9,1,0,0,0,0,0,1,0,0,1,0,0,5,2,0,0,0,0,0,0,7,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,4,1,0,0,0,1,0,0,1,0,0,0
