curso,periodo,repeticao,modelo,threshold,acuracia,f1_weighted,f1_pos,roc_auc,avg_precision,brier_pre,brier_cal,ratio_pos_weight,seed,tr_n,tr_n0,tr_n1,tr_pos_rate,va_n,va_n0,va_n1,va_pos_rate,te_n,te_n0,te_n1,te_pos_rate,f1_pos_val,w_xgb,w_lgbm,w_cat
Ciências da Computação - Noturno,2,1,XGBoost,0.5,0.8524590163934426,0.8531403023206302,0.8831168831168831,0.8747086247086246,0.8926208214670266,0.12621750885444427,0.13394998552759313,1.5,1337,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.8571428571428571,,,
Ciências da Computação - Noturno,2,1,LightGBM,0.5,0.8360655737704918,0.837472333720974,0.868421052631579,0.8735431235431236,0.893278991838148,0.12121911146719663,0.14638449753193694,1.5,1337,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.8571428571428571,,,
Ciências da Computação - Noturno,2,1,CatBoost,0.5,0.7868852459016393,0.7755010555396283,0.8470588235294118,0.8787878787878788,0.9012155838441056,0.11495016975180908,0.1329907364004147,1.5,1337,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.9032258064516129,,,
Ciências da Computação - Noturno,2,1,Comite_Arvores_XGB_LGBM_CatBoost,0.6393779342720562,0.819672131147541,0.8226969206726031,0.8493150684931506,0.8927738927738927,0.92204940857857,0.11814354420820336,0.1284546041006344,0.5584415584415584,1337,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.9230769230769231,0.32746478873226925,0.32746478873226925,0.34507042253507947
Ciências da Computação - Noturno,2,2,XGBoost,0.5,0.8688524590163934,0.8712568306010928,0.8888888888888888,0.8904428904428904,0.9463452434452723,0.12190453720510261,0.12866413279483366,1.5,1338,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.8571428571428571,,,
Ciências da Computação - Noturno,2,2,LightGBM,0.8333333333333334,0.8688524590163934,0.8707724117560184,0.8918918918918919,0.9044289044289044,0.9510643956802748,0.11072594224206235,0.10917739651000266,1.5,1338,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.8888888888888888,,,
Ciências da Computação - Noturno,2,2,CatBoost,1.0,0.8852459016393442,0.8874642907266809,0.9014084507042254,0.916083916083916,0.952927659504323,0.11508222580841364,0.0954613186938867,1.5,1338,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.9230769230769231,,,
Ciências da Computação - Noturno,2,2,Comite_Arvores_XGB_LGBM_CatBoost,0.5212564825482551,0.8688524590163934,0.8707724117560184,0.8918918918918919,0.9032634032634034,0.9592094277745478,0.1122562399292481,0.10445041368375724,0.5584415584415584,1338,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.9285714285714286,0.3211344922231184,0.3330283623054561,0.34583714547105066
Ciências da Computação - Noturno,2,3,XGBoost,0.8999999761581421,0.8032786885245902,0.8071698793010268,0.8285714285714286,0.8409090909090909,0.8981896765995265,0.17594338101871881,0.18035568644978883,1.5,1339,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.9285714285714286,,,
Ciências da Computação - Noturno,2,3,LightGBM,0.9,0.7704918032786885,0.7724612672093634,0.8157894736842105,0.7861305361305361,0.8347107898846566,0.17030080244526696,0.2089436823902879,1.5,1339,142,51,91,0.6408450704225352,22,8,14,0.6363636363636364,61,22,39,0.639344262295082,0.9655172413793104,,,
