feature,importancia_media
periodo_2_disciplinas_aprovadas,0.09641954598221139
periodo_1_disciplinas_aprovadas,0.07973295639780856
nota_ingresso,0.06588428462648227
periodo_2_bolsa_remunerada,0.03897105403844439
periodo_1_disciplinas_ri,0.020604431728726974
periodo_2_disciplinas_ri,0.01905260888816093
periodo_1_disciplinas_reprovadas,0.01702769289460414
periodo_2_disciplinas_reprovadas,0.015529100512260903
etnia_preta,0.009307129693119948
cota_ampla_concorrencia,0.007165923666641325
periodo_2_disciplinas_trancadas,0.006998404141094933
cota_escola_publica,0.0042825963464872925
cota_renda,0.003939340345610977
etnia_parda,0.0034228231110017353
etnia_branca,0.002762541409754493
genero_feminino,0.0026755368617414404
etnia_outra,0.0023451263678716506
tipo_ingresso_sisu,0.002013190785969536
tipo_ingresso_pism,0.0018265221278209345
periodo_2_ae,0.0014891062899566618
periodo_1_disciplinas_trancadas,0.0014530749131854079
genero_masculino,0.0014500195818340409
cota_racial,0.0006214431681497399
periodo_1_bolsa_remunerada,0.00030876321571032155
periodo_2_bolsa_n_remunerada,0.0001685991549941687
periodo_1_ae,0.00013663138951710798
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_pcd,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
