nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
387.1,1,0,0,0,0,1,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0
609.85,1,0,0,0,0,1,0,0,0,1,0,0,3,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
701.34,0,1,0,0,0,1,0,0,0,1,0,0,14,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0
777.1,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0
635.38,0,1,0,0,1,0,1,1,0,0,1,0,1,0,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0
630.6,0,1,0,0,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0
605.28,0,1,0,0,1,0,1,0,0,1,0,0,3,2,0,2,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0
599.92,0,1,0,0,0,0,1,1,0,0,1,0,5,1,1,0,0,0,0,1,0,5,0,1,0,0,0,1,1,0,0,0
674.22,0,1,0,0,0,1,0,0,0,0,1,0,3,4,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,1
439.7,1,0,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,4,2,0,0,0,1,0,0,1,0,0,0
595.3,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,2,0,2,0,0,0,1,0,0,0,1
611.22,0,1,0,0,0,1,0,0,0,1,0,0,2,4,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0
706.7,0,1,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
616.54,0,1,0,0,0,0,1,1,0,1,0,0,5,2,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0
246.6,1,0,0,0,1,0,1,0,0,1,0,0,5,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
733.85,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
521.02,0,1,0,0,1,0,1,1,0,1,0,0,2,4,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0
456.8,1,0,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0
741.0,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
627.5,0,1,0,0,1,0,1,1,0,1,0,0,8,1,4,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,1,0
699.28,0,1,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0
655.5,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
614.08,0,1,0,0,0,1,0,0,0,1,0,0,5,1,1,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0
629.0,1,0,0,0,1,0,1,0,0,1,0,0,4,1,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
605.0,1,0,0,0,0,0,1,0,0,1,0,0,3,1,3,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0
656.3,1,0,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1
583.08,0,1,0,0,1,0,1,1,0,1,0,0,1,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
549.1,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,1,0,0,0
