feature,importancia_media
periodo_3_disciplinas_ri,0.10539386755119981
periodo_1_disciplinas_aprovadas,0.07554991219017095
periodo_3_disciplinas_aprovadas,0.0661841828449755
periodo_2_disciplinas_aprovadas,0.05897779347926075
periodo_3_bolsa_remunerada,0.04771963106283935
nota_ingresso,0.0451784151510587
cota_ampla_concorrencia,0.009528701733404801
periodo_2_disciplinas_trancadas,0.008350622801496147
periodo_2_disciplinas_reprovadas,0.0061411365851123
cota_racial,0.004251571727746677
periodo_2_disciplinas_ri,0.0038367451224793413
periodo_3_disciplinas_reprovadas,0.0038166787820180224
periodo_1_disciplinas_reprovadas,0.0037390333304690325
cota_escola_publica,0.003685732991647505
periodo_1_disciplinas_ri,0.0036398888260427936
periodo_3_disciplinas_trancadas,0.0030145691531305975
etnia_branca,0.002870752214516524
periodo_2_bolsa_remunerada,0.0017595479502335422
etnia_preta,0.0017100651173484855
tipo_ingresso_pism,0.0013471692081833695
genero_feminino,0.000749899152672696
etnia_parda,0.0007481049706920944
periodo_3_ae,0.0006238609987667351
periodo_1_ae,0.0005693576382061566
periodo_2_ae,0.0005324471983469603
tipo_ingresso_sisu,0.00048314124354438526
cota_renda,0.0003029510180465029
periodo_1_disciplinas_trancadas,0.00019600165961785026
periodo_3_bolsa_n_remunerada,0.00013521251955069793
genero_masculino,0.00012753023552957202
periodo_1_bolsa_remunerada,6.499669035346549e-05
periodo_2_bolsa_n_remunerada,5.649829337081491e-06
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_1_bolsa_n_remunerada,0.0
genero_outros,0.0
cota_pcd,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
etnia_outra,0.0
