feature,importancia_media
periodo_4_disciplinas_aprovadas,0.15362383123329654
periodo_3_disciplinas_ri,0.08402659794557246
periodo_1_disciplinas_aprovadas,0.05715623973144173
nota_ingresso,0.04447820043442164
periodo_3_disciplinas_aprovadas,0.0353024091983907
periodo_2_disciplinas_reprovadas,0.015674061007624463
periodo_2_disciplinas_aprovadas,0.012699880177931189
periodo_3_bolsa_remunerada,0.011175462083694644
etnia_branca,0.006811832675537139
periodo_4_disciplinas_trancadas,0.00620576395272275
etnia_parda,0.0048855265677112715
periodo_1_disciplinas_reprovadas,0.003993398033050854
periodo_4_disciplinas_reprovadas,0.0017850234890054615
cota_racial,0.00013814658450321947
cota_ampla_concorrencia,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_pism,0.0
periodo_1_disciplinas_trancadas,0.0
periodo_1_disciplinas_ri,0.0
genero_feminino,0.0
genero_outros,0.0
genero_masculino,0.0
cota_pcd,0.0
cota_escola_publica,0.0
cota_renda,0.0
tipo_ingresso_sisu,0.0
tipo_ingresso_vestibular,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_ae,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_3_disciplinas_trancadas,0.0
periodo_3_disciplinas_reprovadas,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_ae,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_ae,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_4_disciplinas_ri,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_bolsa_remunerada,0.0
periodo_4_ae,0.0
periodo_4_bolsa_n_remunerada,0.0
etnia_outra,0.0
etnia_preta,0.0
