NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_OUTRA,etnia_PARDA,etnia_PRETA
668.1,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
593.32,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0
953.5,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
719.6,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
673.44,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
665.24,0,1,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0
718.04,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
698.84,0,1,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0
717.32,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
691.5,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
788.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
614.18,0,1,0,0,1,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
723.76,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
733.5,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
680.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
723.18,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
731.54,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
616.44,0,1,0,0,0,1,0,0,0,0,1,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
743.54,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
828.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
791.45,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
644.7,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
744.74,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
722.14,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0
712.36,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0
426.5,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1
640.66,0,1,0,0,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0
835.75,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
639.4,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
645.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
651.96,0,1,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,1,2,3,0,0,0,1,0,1,0,0,0
713.26,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
720.2,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
371.0,1,0,0,0,0,0,1,1,0,1,0,0,3,3,0,0,0,0,0,1,2,4,0,0,0,0,0,1,1,0,0
726.25,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
656.24,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,1,0
645.86,0,1,0,0,1,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1
933.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
705.12,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
904.25,1,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
624.72,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
684.5,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
518.15,1,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0
581.7,1,0,0,0,1,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1
639.8,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
409.7,1,0,0,0,1,0,1,1,0,1,0,0,4,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,0
761.8,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
432.1,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
482.2,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0
731.08,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
683.34,0,1,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0
696.28,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
613.44,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
647.8,1,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,1,0
710.68,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0
732.34,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
709.72,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1
722.98,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
694.3,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
725.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
281.4,1,0,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0
414.2,1,0,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0
621.0,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,1,0
717.18,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
577.32,0,1,0,0,1,0,1,1,0,0,1,0,4,1,0,1,0,0,0,1,2,2,0,1,0,0,0,1,0,1,0
718.12,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
770.75,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0
738.0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
