NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_OUTRA,etnia_PARDA,etnia_PRETA
733.5,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0
605.1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0
666.5,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
541.4,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
747.9,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0
725.18,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
739.35,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
637.3,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
668.1,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
633.26,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,6,0,0,0,0,1,0,1,0,1,0
722.76,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
733.14,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,2,0,0,0,0,1,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
426.5,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1
651.58,0,1,0,0,1,0,1,1,0,0,1,0,5,1,0,0,0,0,0,1,3,3,0,1,0,0,0,1,3,3,0,1,0,1,0,1,0,1,0
697.1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
612.24,0,1,0,0,1,0,1,1,0,1,0,0,4,2,0,0,0,0,0,1,4,1,0,1,0,0,0,1,2,1,1,0,0,0,0,1,0,1,0
530.5,1,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
636.52,0,1,0,0,1,0,1,1,0,0,1,0,3,2,1,0,0,0,0,1,7,0,0,2,0,0,0,1,2,1,1,2,0,1,0,0,0,0,1
895.55,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
827.65,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
688.76,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0
567.8,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
704.84,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0
653.05,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
642.24,0,1,0,0,1,0,1,0,0,1,0,0,6,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0
648.9,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,0,1,0
645.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
694.0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
710.68,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0
670.26,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0
665.55,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
732.3,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0
673.44,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
557.3,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
635.64,0,1,0,0,1,0,1,0,0,1,0,0,23,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
915.0,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
723.46,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
634.72,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,0,0,1,0,1,0,1,0,1,0
680.74,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,1,4,2,0,0,0,0,0,1,6,0,0,0,0,1,0,1,0,0,0
738.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
694.8,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0
606.7,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
731.08,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
864.6,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
825.6,1,0,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,1,0,0,0,0,0,1,0,0,0
706.12,0,1,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
746.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
668.3,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
614.86,0,1,0,0,1,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,4,3,0,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0
542.4,1,0,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0
661.5,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
866.25,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
715.1,0,1,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
733.02,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
681.36,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1
722.98,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
714.0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
651.96,0,1,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,1,2,3,0,0,0,1,0,1,3,1,0,0,0,1,0,1,0,0,0
618.86,0,1,0,0,1,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
728.5,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
742.56,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
409.7,1,0,0,0,1,0,1,1,0,1,0,0,4,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,1,0
578.58,0,1,0,0,1,0,1,1,0,0,1,0,15,3,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0
683.34,0,1,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,4,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
592.9,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
725.06,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0
681.46,0,1,0,0,0,0,1,1,0,1,0,0,4,2,0,0,0,0,0,1,6,2,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0
572.48,0,1,0,0,1,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,5,1,0,0,0,0,0,1,5,0,0,0,0,0,1,1,0,0,1
709.46,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0,1
761.75,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
700.5,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
738.0,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
707.9,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
730.54,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
712.8,1,0,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,1,0
722.14,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0
488.3,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0
661.86,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0
