feature,importancia_media
periodo_4_disciplinas_aprovadas,0.11210447019616998
periodo_3_disciplinas_aprovadas,0.07373368242498919
periodo_2_disciplinas_aprovadas,0.058954201300598356
periodo_4_bolsa_remunerada,0.019377969913902456
nota_ingresso,0.013714068878995763
periodo_3_disciplinas_reprovadas,0.011415941871263073
periodo_3_ae,0.011050781795319141
periodo_3_disciplinas_ri,0.010199578781662798
periodo_4_disciplinas_reprovadas,0.010093295136728022
periodo_1_disciplinas_aprovadas,0.008666530160094926
periodo_1_disciplinas_reprovadas,0.008351370525593428
genero_feminino,0.006533796265679381
periodo_3_disciplinas_trancadas,0.006270755265182034
periodo_2_disciplinas_reprovadas,0.005550772046885401
periodo_2_disciplinas_trancadas,0.004903882872260918
periodo_3_bolsa_remunerada,0.004500232278445618
periodo_4_ae,0.004264283702851955
etnia_parda,0.004160807185480281
periodo_4_disciplinas_ri,0.0028899032255542433
periodo_4_disciplinas_trancadas,0.0028105934085376197
periodo_2_ae,0.002629726012800143
periodo_3_bolsa_n_remunerada,0.002179354841857929
tipo_ingresso_pism,0.0017883018973959052
cota_renda,0.0017458961273534336
cota_racial,0.0016955569402840064
cota_ampla_concorrencia,0.0015549004118064241
genero_masculino,0.001497485610039838
etnia_preta,0.001311078281918759
tipo_ingresso_sisu,0.0011457643639566884
periodo_2_disciplinas_ri,0.0009977352139178388
periodo_2_bolsa_remunerada,0.0004837208734480601
cota_escola_publica,0.0004778329612937186
periodo_1_disciplinas_ri,0.00040854497369902126
etnia_outra,0.00023906988459124345
periodo_1_disciplinas_trancadas,0.00022415072814571907
periodo_4_bolsa_n_remunerada,0.00021210219135813047
periodo_1_ae,9.228010149621534e-05
cota_pcd,0.0
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
genero_outros,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
