feature,importancia_media
periodo_4_disciplinas_aprovadas,0.12540528642765872
periodo_3_disciplinas_aprovadas,0.10813382456658731
periodo_2_disciplinas_aprovadas,0.09784980798392427
nota_ingresso,0.05345324431111064
periodo_4_bolsa_remunerada,0.03542271976904862
periodo_3_disciplinas_reprovadas,0.027251449473034033
periodo_3_disciplinas_trancadas,0.02721436005287163
tipo_ingresso_pism,0.02419400156872873
periodo_4_disciplinas_reprovadas,0.009849545993593868
periodo_4_ae,0.009482742091780141
cota_escola_publica,0.0035822758819671076
cota_ampla_concorrencia,0.003019205131600968
periodo_1_disciplinas_aprovadas,0.0018992987549997546
periodo_2_disciplinas_trancadas,0.0013284714629307397
cota_racial,0.0
tipo_ingresso_vestibular,0.0
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_reprovadas,0.0
genero_outros,0.0
genero_feminino,0.0
cota_pcd,0.0
genero_masculino,0.0
cota_renda,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_sisu,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_ae,0.0
periodo_2_disciplinas_reprovadas,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_trancadas,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_3_disciplinas_ri,0.0
periodo_2_ae,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_ri,0.0
periodo_3_ae,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_disciplinas_trancadas,0.0
periodo_4_bolsa_n_remunerada,0.0
etnia_outra,0.0
etnia_parda,0.0
etnia_preta,0.0
