feature,importancia_media
periodo_4_disciplinas_aprovadas,0.11234442837464739
periodo_3_disciplinas_aprovadas,0.1033007692517541
periodo_2_disciplinas_aprovadas,0.10004979324595738
NOTA_INGRESSO,0.06369046025433087
periodo_4_bolsa_remunerada,0.04581015148245983
TIPO_INGRESSO_PISM,0.04541215784315457
periodo_3_disciplinas_reprovadas,0.03180584072906421
periodo_3_disciplinas_trancadas,0.029345253258087442
periodo_4_disciplinas_reprovadas,0.01398099064942495
cota_ampla_concorrencia,0.012671493416775271
periodo_1_disciplinas_aprovadas,0.01163148458615328
periodo_2_disciplinas_reprovadas,0.010092682796189918
periodo_4_AE,0.006477274480286447
genero_masculino,0.006020079285300782
etnia_PARDA,0.004649812168810154
periodo_1_disciplinas_reprovadas,0.0017694333287266609
periodo_4_disciplinas_trancadas,0.001656493201676955
cota_racial,0.0005292469269185009
periodo_3_AE,0.0005007698858644245
periodo_2_disciplinas_trancadas,0.00039258014338582097
periodo_3_bolsa_remunerada,0.0003748734438145588
periodo_1_disciplinas_ri,0.0
TIPO_INGRESSO_OUTROS,0.0
cota_escola_publica,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
genero_outros,0.0
cota_pcd,0.0
genero_feminino,0.0
cota_renda,0.0
TIPO_INGRESSO_SISU,0.0
periodo_1_disciplinas_trancadas,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_3_disciplinas_ri,0.0
periodo_2_AE,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_AE,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_4_disciplinas_ri,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_4_bolsa_n_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
etnia_OUTRA,0.0
etnia_PRETA,0.0
