nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_outra,etnia_parda,etnia_preta
746.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
967.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0
717.32,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,5,0,0,2,0,1,0,0,4,1,0,1,0,1,0,0,0,0,0
550.24,0,1,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
688.1,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,6,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0
673.26,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,0,0,0
642.24,0,1,0,0,1,0,1,0,0,1,0,0,6,2,2,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,1,0
669.94,0,1,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0
915.0,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
530.5,1,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
617.9,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
825.2,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
759.65,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
657.76,0,1,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,2,3,0,0,0,0,0,1,4,0,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0,0
592.9,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
731.08,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
661.86,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,5,0,0,2,0,1,0,0,6,0,0,1,0,1,0,0,0,0,0
667.66,0,1,0,0,0,0,1,0,0,1,0,0,8,2,0,1,0,0,0,0,4,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
890.35,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
680.88,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0
730.54,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
681.45,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
722.98,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0
614.28,0,1,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,1,0,1,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0
742.56,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
688.76,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,0,1,0,1,0,0,4,1,0,0,0,1,0,0,0,0,0
726.42,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0
684.12,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
709.46,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1
834.4,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0
668.1,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
634.72,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,0,0,1,0,1,0,1,6,0,0,0,0,1,0,1,0,1,0
759.7,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,3,0,2,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
714.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0
713.62,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0,0,0
430.8,1,0,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
732.34,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
761.8,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
613.9,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,5,1,0,0,0,1,0,0,3,3,0,0,0,1,0,0,0,1,0
825.9,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,4,0,0,2,0,1,0,0,0,0,0
712.8,1,0,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0,1,0
828.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
735.78,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1
694.84,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
653.24,0,1,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,1,0
733.34,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
619.54,0,1,0,0,1,0,1,1,0,0,1,0,3,1,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
710.64,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
895.55,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
665.24,0,1,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,3,1,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
635.64,0,1,0,0,1,0,1,0,0,1,0,0,23,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1022.7,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,1,0
829.1,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,6,0,0,1,0,1,0,1,5,0,0,0,0,1,0,1,0,0,0
876.8,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
