feature,importancia_media
periodo_2_disciplinas_aprovadas,0.11180847717281461
periodo_1_disciplinas_aprovadas,0.06598951218554207
genero_masculino,0.03349718885588101
nota_ingresso,0.022430922712400467
etnia_parda,0.015001997909498114
genero_feminino,0.013477407820333248
tipo_ingresso_pism,0.01283695329341689
tipo_ingresso_sisu,0.012463842548518117
periodo_1_disciplinas_reprovadas,0.011117473996352274
periodo_2_disciplinas_trancadas,0.010425835852496089
periodo_2_disciplinas_ri,0.009465230830020451
etnia_branca,0.008729603677313923
periodo_2_disciplinas_reprovadas,0.008220547439177536
cota_renda,0.007134873538903867
periodo_2_bolsa_remunerada,0.00550719933108632
cota_racial,0.0054401671748983225
etnia_preta,0.004326100050889922
periodo_1_disciplinas_ri,0.003953132358303143
cota_ampla_concorrencia,0.003948468948514111
periodo_1_disciplinas_trancadas,0.0030640033234141106
periodo_2_ae,0.001866126788520753
cota_escola_publica,0.0017712862048573734
periodo_2_bolsa_n_remunerada,0.0009723013686006927
periodo_1_ae,0.0006536486927930327
etnia_outra,0.00043563478084441876
cota_pcd,0.0
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
