nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
707.0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
631.5,1,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0
404.0,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0
516.4,1,0,0,0,1,0,1,1,0,0,1,0,4,0,0,1,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,1
567.55,1,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,4,0,1,0,0,0,0,1,0,0,0
667.22,0,1,0,0,0,0,1,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0
630.78,0,1,0,0,1,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0
666.7,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
448.75,1,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0
698.64,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
567.5,0,1,0,0,1,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0
428.0,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
688.68,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
704.7,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
587.18,0,1,0,0,0,0,1,1,0,0,1,0,15,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0
691.68,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
304.5,1,0,0,0,0,0,1,1,0,1,0,0,2,3,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,0,0,0
601.68,0,1,0,0,1,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0
665.24,0,1,0,0,0,0,1,1,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
631.32,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0
