feature,importancia_media
periodo_2_disciplinas_aprovadas,0.13810786971338831
NOTA_INGRESSO,0.06259347028051729
periodo_1_disciplinas_aprovadas,0.04144343979622712
cota_racial,0.025020246800800422
periodo_2_disciplinas_ri,0.023780484462810732
periodo_2_disciplinas_reprovadas,0.018166237062714752
periodo_1_disciplinas_reprovadas,0.01540052168200019
etnia_BRANCA,0.01257580976206201
genero_masculino,0.012007547524228118
periodo_2_AE,0.01162747686249925
periodo_2_disciplinas_trancadas,0.009891641134450378
periodo_1_disciplinas_ri,0.009750145541332949
cota_ampla_concorrencia,0.00879784740485256
genero_feminino,0.007111195850398672
etnia_PRETA,0.005346525366555569
etnia_PARDA,0.004369535525082557
cota_escola_publica,0.002757027665448423
cota_renda,0.0026002184813683055
TIPO_INGRESSO_PISM,0.002372045374624775
periodo_1_AE,0.0019440694201227507
etnia_OUTRA,0.00113272415806621
periodo_1_disciplinas_trancadas,0.0008040404349294738
TIPO_INGRESSO_SISU,0.0006253890815398158
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
cota_pcd,0.0
genero_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
