NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
936.85,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0
669.3,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0
665.24,0,1,0,0,0,0,1,1,0,1,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
608.5,1,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
623.0,0,1,0,0,1,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0
672.06,0,1,0,0,0,0,1,1,0,1,0,0,4,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
564.88,0,1,0,0,1,0,1,1,0,1,0,0,2,1,2,0,0,0,0,1,1,2,2,5,0,0,0,1,0,0,0,1
329.45,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
660.44,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
665.7,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
494.25,1,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
706.2,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
523.5,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0
375.7,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
682.3,0,1,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0
672.1,0,1,0,0,1,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
592.6,1,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
648.54,0,1,0,0,1,0,1,1,0,1,0,0,4,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0
698.38,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
696.38,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0
397.1,1,0,0,0,0,1,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
604.8,0,1,0,0,1,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
696.06,0,1,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0
666.7,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
575.6,0,1,0,0,1,0,1,1,0,1,0,0,2,3,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1
381.1,1,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
707.0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
630.78,0,1,0,0,1,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0
639.3,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0
639.96,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
527.56,0,1,0,0,1,0,1,0,0,0,1,0,2,1,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0
909.5,1,0,0,0,0,1,0,0,0,1,0,0,4,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
609.0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
690.5,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0
715.24,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0
685.16,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
665.96,0,1,0,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,5,1,0,1,0,1,0,0,0,0,1,0
712.26,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1
375.4,1,0,0,0,1,0,1,1,0,1,0,0,2,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0
933.8,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
611.4,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
685.26,0,1,0,0,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
562.15,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0
760.4,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
704.7,1,0,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
594.72,0,1,0,0,1,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
498.5,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1
690.64,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
724.44,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
414.95,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,0,0,1,0
718.72,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
700.92,0,1,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0
695.75,1,0,0,0,0,0,1,1,0,1,0,0,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0
