feature,importancia_media
periodo_2_disciplinas_aprovadas,0.12272158848729217
periodo_1_disciplinas_aprovadas,0.04102875268315326
genero_masculino,0.033010291195903915
genero_feminino,0.02840219812518344
cota_renda,0.014938368636704459
nota_ingresso,0.013836423933253489
periodo_1_disciplinas_reprovadas,0.013400151527433624
periodo_2_disciplinas_ri,0.010683516727424427
etnia_branca,0.006788854846479895
etnia_parda,0.004964531284948535
cota_ampla_concorrencia,0.004771293063539079
periodo_2_disciplinas_reprovadas,0.004177417629051988
periodo_2_disciplinas_trancadas,0.003490041729946855
cota_escola_publica,0.0034460066313080117
periodo_1_disciplinas_trancadas,0.0022547938274203685
periodo_2_ae,0.0018726453769024073
tipo_ingresso_pism,0.00105957522915646
tipo_ingresso_sisu,0.0009155276870809299
periodo_1_ae,0.00046892081407994923
periodo_2_bolsa_remunerada,0.0003876354641234094
cota_racial,0.00027180230036848526
etnia_preta,0.00020795110967850163
periodo_1_disciplinas_ri,0.000157780290063846
cota_pcd,1.7417662504881774e-05
periodo_2_bolsa_n_remunerada,4.934893941888451e-06
genero_outros,0.0
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
etnia_outra,0.0
