NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
665.08,0,1,0,0,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,1
700.12,0,1,0,0,0,1,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
704.7,1,0,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,1,0,1,0,1,0,0,0,1
570.82,0,1,0,0,1,0,1,1,0,0,1,0,3,2,0,0,0,0,0,1,3,1,0,0,0,0,0,1,1,3,0,2,0,0,0,1,0,0,1,0
584.3,1,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
527.56,0,1,0,0,1,0,1,0,0,0,1,0,2,1,0,2,0,0,0,0,2,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
473.74,0,1,0,0,0,0,1,1,0,0,1,0,1,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
660.44,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,0,0,1,0
516.4,1,0,0,0,1,0,1,1,0,0,1,0,4,0,0,1,0,0,0,1,3,2,0,0,0,0,0,1,3,1,0,1,0,0,0,1,0,0,0,1
696.38,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
658.8,0,1,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
494.25,1,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0
554.9,1,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0
692.56,0,1,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0
648.3,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0
665.1,0,1,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
599.84,0,1,0,0,0,0,1,1,0,1,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0
471.6,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,0,0
