feature,importancia_media
periodo_3_disciplinas_aprovadas,0.1412265211677829
genero_masculino,0.059554701596809125
periodo_2_disciplinas_aprovadas,0.05060303246565879
genero_feminino,0.041729066573612784
NOTA_INGRESSO,0.028811321477690836
periodo_3_disciplinas_reprovadas,0.015635221144185984
periodo_3_AE,0.014506480344537399
cota_ampla_concorrencia,0.011524267239093984
cota_renda,0.010516322490900069
TIPO_INGRESSO_PISM,0.010196171813746454
periodo_3_disciplinas_ri,0.010139753116572515
cota_escola_publica,0.00733502764823467
etnia_PARDA,0.006822895934439385
periodo_1_disciplinas_trancadas,0.006131118528516682
periodo_1_disciplinas_aprovadas,0.00603761433624999
periodo_1_disciplinas_reprovadas,0.0027136474995269884
periodo_2_disciplinas_ri,0.0026920497164047994
periodo_2_disciplinas_reprovadas,0.0024739373449467546
etnia_PRETA,0.002179520022183836
periodo_2_disciplinas_trancadas,0.002163344554140375
TIPO_INGRESSO_SISU,0.0021314183765389887
periodo_3_disciplinas_trancadas,0.0017602748436618299
periodo_3_bolsa_remunerada,0.0012677701420296054
periodo_2_bolsa_remunerada,0.0010873509172558077
periodo_2_AE,0.0009847166096696059
etnia_BRANCA,0.0006118733265916799
cota_racial,0.0006042870703178414
periodo_1_AE,0.0005300264937930705
periodo_1_disciplinas_ri,0.00045602462374196386
periodo_3_bolsa_n_remunerada,0.0003791339339458358
etnia_OUTRA,0.00018457547255283397
periodo_1_bolsa_remunerada,1.1617279995019123e-05
periodo_2_bolsa_n_remunerada,8.048825828303131e-06
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_OUTROS,0.0
genero_outros,0.0
cota_pcd,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
