feature,importancia_media
periodo_3_disciplinas_aprovadas,0.10243282983858111
genero_masculino,0.05005700682572613
genero_feminino,0.026860030575306698
nota_ingresso,0.025323191934774166
periodo_2_disciplinas_aprovadas,0.02246411858042519
periodo_3_disciplinas_reprovadas,0.016627773663959587
cota_renda,0.015695318168644074
periodo_1_disciplinas_aprovadas,0.006553365462029165
periodo_3_disciplinas_ri,0.005891068128822138
periodo_3_disciplinas_trancadas,0.005558451364378497
etnia_branca,0.00243958495464822
periodo_3_ae,0.002238788138928993
periodo_2_disciplinas_reprovadas,0.002182039397566079
tipo_ingresso_sisu,0.0
tipo_ingresso_vestibular,0.0
tipo_ingresso_pism,0.0
tipo_ingresso_outros,0.0
cota_escola_publica,0.0
cota_ampla_concorrencia,0.0
cota_racial,0.0
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_trancadas,0.0
periodo_1_disciplinas_reprovadas,0.0
genero_outros,0.0
cota_pcd,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_ae,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_ae,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_n_remunerada,0.0
etnia_outra,0.0
etnia_parda,0.0
etnia_preta,0.0
