nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
631.32,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,1,3,0,0,0,0,1,0,0,0
635.84,0,1,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
770.0,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0
610.78,0,1,0,0,0,0,1,0,0,0,1,0,3,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
498.5,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
461.9,1,0,0,0,0,0,1,1,0,0,1,0,4,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,1
691.68,0,1,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0
694.15,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0
450.2,1,0,0,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0,0,0,3,2,0,0,0,0,0,1,3,1,0,1,0,0,0,1,1,0,0,0
318.9,1,0,0,0,1,0,1,1,0,0,1,0,2,3,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0
700.92,0,1,0,0,0,1,0,0,0,1,0,0,5,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0
639.96,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
658.84,0,1,0,0,1,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0
428.0,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
714.68,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0
329.45,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0
671.4,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
520.9,1,0,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0
642.58,0,1,0,0,1,0,1,1,0,1,0,0,4,1,0,0,0,0,0,0,5,1,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0
687.9,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0
707.24,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
556.5,1,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0
713.34,0,1,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0
530.72,0,1,0,0,1,0,1,0,1,1,0,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0
656.2,0,1,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0
685.8,0,1,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
679.88,0,1,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
