feature,importancia_media
periodo_2_disciplinas_aprovadas,0.058650123114432975
NOTA_INGRESSO,0.03408308639070371
genero_masculino,0.01043854250562
periodo_1_disciplinas_aprovadas,0.008727441184055136
periodo_2_disciplinas_trancadas,0.007651148833876113
periodo_2_disciplinas_reprovadas,0.005666259236124361
genero_feminino,0.004173502190128908
cota_escola_publica,0.0022560008410453377
periodo_1_disciplinas_trancadas,0.002129921626618516
etnia_PRETA,0.0013510743803589705
periodo_2_disciplinas_ri,0.0006463230341953939
cota_racial,0.0
cota_ampla_concorrencia,0.0
cota_renda,0.0
TIPO_INGRESSO_PISM,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
TIPO_INGRESSO_SISU,0.0
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_reprovadas,0.0
cota_pcd,0.0
genero_outros,0.0
TIPO_INGRESSO_OUTROS,0.0
periodo_1_AE,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_AE,0.0
etnia_BRANCA,0.0
etnia_OUTRA,0.0
etnia_PARDA,0.0
