feature,importancia_media
nota_ingresso,0.11359892588742655
periodo_2_disciplinas_aprovadas,0.09091095311349294
periodo_1_disciplinas_aprovadas,0.040434703871578756
cota_renda,0.03996149895605454
cota_ampla_concorrencia,0.028219262525257624
periodo_2_disciplinas_trancadas,0.01983340646784441
periodo_2_disciplinas_reprovadas,0.019573135469110586
cota_racial,0.01848860241021837
periodo_1_disciplinas_reprovadas,0.01485328919577897
etnia_branca,0.01484614270152665
etnia_parda,0.01282065418167472
genero_masculino,0.011651590442104575
tipo_ingresso_pism,0.00840192831861242
cota_escola_publica,0.007452633107594599
periodo_1_disciplinas_trancadas,0.0034546961955130304
etnia_preta,0.0022631827665564575
tipo_ingresso_sisu,0.0015496907443516552
genero_feminino,0.0012776721223411794
periodo_1_disciplinas_ri,0.0007597884545290593
periodo_2_disciplinas_ri,9.181950490674701e-05
cota_pcd,2.4745650763792088e-05
etnia_outra,1.662642054226131e-05
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_ae,0.0
periodo_2_ae,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
