NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
970.4,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
717.1,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
1030.3,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
912.45,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
1039.9,1,0,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
767.78,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
752.88,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
665.84,0,1,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
911.3,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
568.9,1,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
687.12,0,1,0,0,0,1,0,0,0,1,0,0,21,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
758.04,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0
746.86,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
883.1,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
639.3,1,0,0,0,0,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0
757.78,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
655.06,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
718.78,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
456.1,1,0,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1
708.52,0,1,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
894.5,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
653.34,0,1,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
724.8,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
738.34,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
1072.0,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
942.2,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
1043.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
