NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
741.1,0,1,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
1008.9,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
871.75,1,0,0,0,1,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
940.6,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
765.7,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
700.04,0,1,0,0,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,1,0
774.8,1,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0
667.38,0,1,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
713.52,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,6,1,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0
918.3,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
708.62,0,1,0,0,0,0,1,1,0,0,1,0,5,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0
792.0,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
755.34,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0
778.98,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
618.16,0,1,0,0,1,0,1,1,0,0,1,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0
759.12,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
743.26,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
656.04,0,1,0,0,0,0,1,1,0,1,0,0,5,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
515.55,1,0,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,1,0
762.24,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
978.4,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
538.2,1,0,0,0,1,0,1,1,0,0,1,0,5,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1
1079.6,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
1010.45,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
624.04,0,1,0,0,1,0,1,1,0,1,0,0,8,0,0,2,0,0,0,0,3,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0
