feature,importancia_media
periodo_4_disciplinas_aprovadas,0.0573531338725913
periodo_2_disciplinas_aprovadas,0.05204128206039035
NOTA_INGRESSO,0.02662061537269621
etnia_PARDA,0.022853307487324545
periodo_3_disciplinas_aprovadas,0.02057393026775058
TIPO_INGRESSO_PISM,0.020020326967677218
periodo_4_disciplinas_trancadas,0.019969671054030275
periodo_4_disciplinas_reprovadas,0.01534989495972468
etnia_BRANCA,0.014800104219953085
TIPO_INGRESSO_SISU,0.013807333795365095
cota_renda,0.013194746097412335
genero_masculino,0.010933727923122047
cota_racial,0.009839763284479842
periodo_4_disciplinas_ri,0.008651620839026217
periodo_1_disciplinas_aprovadas,0.008605626503431132
cota_ampla_concorrencia,0.007762883860005872
genero_feminino,0.0071717716305976205
periodo_3_disciplinas_trancadas,0.003795910040009361
periodo_2_disciplinas_trancadas,0.003443520427452214
periodo_2_disciplinas_reprovadas,0.002492959852115745
periodo_3_disciplinas_reprovadas,0.0020515112522379686
periodo_1_disciplinas_trancadas,0.001258680399611039
cota_escola_publica,0.0011288035064077986
periodo_3_disciplinas_ri,0.0005101977565788192
periodo_1_disciplinas_reprovadas,0.0005025757746358987
periodo_2_disciplinas_ri,0.0003897564740068835
etnia_PRETA,0.00038665307979386773
periodo_1_disciplinas_ri,0.00024211131387575095
etnia_OUTRA,2.5610165595347822e-05
cota_pcd,2.382833376079861e-05
genero_outros,0.0
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_AE,0.0
periodo_1_AE,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_AE,0.0
periodo_4_AE,0.0
periodo_4_bolsa_n_remunerada,0.0
periodo_4_bolsa_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
