feature,importancia_media
periodo_4_disciplinas_aprovadas,0.12090134229601172
periodo_2_disciplinas_aprovadas,0.0430603033482861
periodo_4_disciplinas_reprovadas,0.038091960991388604
nota_ingresso,0.03486227932737685
periodo_3_disciplinas_aprovadas,0.024184567450951485
periodo_1_disciplinas_aprovadas,0.02327798966587019
periodo_3_disciplinas_trancadas,0.019162347459348767
etnia_branca,0.017695257928330984
etnia_parda,0.01687245184500442
periodo_4_disciplinas_ri,0.014039953845219411
periodo_4_disciplinas_trancadas,0.013329492228395568
cota_racial,0.011420223557509369
cota_renda,0.008185675335820002
periodo_3_disciplinas_reprovadas,0.0055581517129110695
tipo_ingresso_pism,0.003748452546077413
periodo_1_disciplinas_trancadas,0.0030960474664175914
tipo_ingresso_sisu,0.0020133584392530795
cota_ampla_concorrencia,0.0019751891293135595
periodo_2_disciplinas_reprovadas,0.001890636749926315
periodo_2_disciplinas_trancadas,0.0011889329330964013
cota_escola_publica,0.0005901666124230483
genero_feminino,0.00042362048178074094
periodo_3_disciplinas_ri,0.00028860846104810875
periodo_1_disciplinas_reprovadas,0.00025129309839254046
genero_masculino,0.00017622705849465792
periodo_1_disciplinas_ri,0.0
genero_outros,0.0
cota_pcd,0.0
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_ae,0.0
periodo_1_ae,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_3_ae,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_bolsa_remunerada,0.0
periodo_4_ae,0.0
periodo_4_bolsa_n_remunerada,0.0
etnia_outra,0.0
etnia_preta,0.0
