feature,importancia_media
periodo_4_disciplinas_aprovadas,0.06524226778963432
etnia_branca,0.031117162893777726
periodo_2_disciplinas_aprovadas,0.03100093983447598
nota_ingresso,0.029529503751969482
periodo_3_disciplinas_aprovadas,0.018488528832267693
etnia_parda,0.017101494618659535
periodo_4_disciplinas_reprovadas,0.01699001660144055
periodo_4_disciplinas_trancadas,0.01103072715446848
cota_ampla_concorrencia,0.009913311824973488
periodo_1_disciplinas_aprovadas,0.0091079365055483
tipo_ingresso_pism,0.007028103591657544
periodo_3_disciplinas_reprovadas,0.005192214165949912
cota_racial,0.004864912092789359
periodo_3_disciplinas_trancadas,0.004758589206182797
periodo_4_disciplinas_ri,0.003966847986058191
genero_masculino,0.0031668370323831552
cota_renda,0.0030808005655071466
periodo_2_disciplinas_trancadas,0.0028640410882244424
genero_feminino,0.0027304468410085923
periodo_3_disciplinas_ri,0.0023168335937536503
tipo_ingresso_sisu,0.0020078545864157145
periodo_2_disciplinas_reprovadas,0.0019886038465260665
periodo_1_disciplinas_trancadas,0.0016094780308172365
periodo_1_disciplinas_reprovadas,0.001326422940577643
cota_escola_publica,0.0010471712856025342
periodo_2_disciplinas_ri,0.0006860966038237549
etnia_preta,0.0004922081370287431
cota_pcd,0.000145444163404901
periodo_1_disciplinas_ri,4.1252022438483374e-05
genero_outros,0.0
tipo_ingresso_vestibular,0.0
tipo_ingresso_outros,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_ae,0.0
periodo_1_ae,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_3_ae,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_remunerada,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_ae,0.0
periodo_4_bolsa_n_remunerada,0.0
periodo_4_bolsa_remunerada,0.0
etnia_outra,0.0
