feature,importancia_media
periodo_2_disciplinas_aprovadas,0.07215035797925838
nota_ingresso,0.04914450224608665
periodo_2_disciplinas_reprovadas,0.04584677824045189
periodo_1_disciplinas_aprovadas,0.04563373512459859
tipo_ingresso_pism,0.03876083305799536
etnia_parda,0.03381922317134946
genero_masculino,0.0282188681630827
periodo_2_disciplinas_trancadas,0.027214450532825403
cota_ampla_concorrencia,0.016520713059094187
tipo_ingresso_sisu,0.009452347549405457
periodo_1_disciplinas_trancadas,0.007450582648593883
periodo_1_ae,0.0072713162062696445
etnia_preta,0.005148451412423464
genero_feminino,0.0034623114813552886
periodo_2_ae,0.0024676889117516945
cota_escola_publica,0.00238826567098979
cota_renda,0.0
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_reprovadas,0.0
cota_pcd,0.0
genero_outros,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
cota_racial,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_disciplinas_ri,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_2_bolsa_remunerada,0.0
etnia_outra,0.0
etnia_branca,0.0
