feature,importancia_media
periodo_2_disciplinas_aprovadas,0.0824251990154754
nota_ingresso,0.0713949009815924
periodo_1_disciplinas_aprovadas,0.0628326033659624
tipo_ingresso_pism,0.03682643001508869
periodo_2_disciplinas_reprovadas,0.029314016307007352
genero_masculino,0.026654167358440586
cota_ampla_concorrencia,0.021658470926080677
periodo_2_disciplinas_trancadas,0.02095449438858712
etnia_preta,0.014497445135833672
periodo_1_disciplinas_trancadas,0.012753248125965204
etnia_branca,0.007049565051376838
etnia_parda,0.006980554463052975
tipo_ingresso_sisu,0.005237640068583412
cota_renda,0.004907983997522646
genero_feminino,0.003982290968156535
periodo_2_bolsa_n_remunerada,0.0027991600931459287
periodo_1_disciplinas_reprovadas,0.002425939372896565
cota_racial,0.0015199546656438471
periodo_1_ae,0.0008682258500113044
periodo_2_ae,0.0007893092701447686
cota_pcd,0.00032855658572137074
periodo_1_disciplinas_ri,0.00016433825491640543
periodo_1_bolsa_n_remunerada,0.00013964834833854386
tipo_ingresso_outros,0.0
cota_escola_publica,0.0
genero_outros,0.0
tipo_ingresso_vestibular,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_ri,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
etnia_outra,0.0
