feature,importancia_media
periodo_3_disciplinas_aprovadas,0.0828777210008743
nota_ingresso,0.046519056063809655
tipo_ingresso_pism,0.0424091667362382
periodo_2_disciplinas_aprovadas,0.018223230331567485
tipo_ingresso_sisu,0.015158759890801763
periodo_3_ae,0.013352280221173518
periodo_1_disciplinas_aprovadas,0.013228225686065229
cota_racial,0.012899356908330098
periodo_2_disciplinas_reprovadas,0.011141094856628155
periodo_3_disciplinas_ri,0.010519356104308378
cota_ampla_concorrencia,0.007645015609844606
periodo_3_disciplinas_reprovadas,0.00569381013115149
periodo_3_bolsa_remunerada,0.005230340605454618
periodo_3_disciplinas_trancadas,0.003999656342170207
genero_masculino,0.0034705322930820392
etnia_parda,0.0034148340928576485
periodo_1_disciplinas_trancadas,0.0032243943323719323
periodo_2_disciplinas_trancadas,0.003053182298826708
periodo_1_disciplinas_reprovadas,0.0018806435874994165
periodo_2_ae,0.00177961556944502
periodo_2_bolsa_n_remunerada,0.0014822377487571003
periodo_1_ae,0.0011122291852350761
cota_renda,0.000979854552141389
periodo_1_disciplinas_ri,0.0009092841751541395
etnia_preta,0.0009082435623058919
etnia_branca,0.0005988411148898882
cota_escola_publica,0.0005599168256977164
periodo_2_bolsa_remunerada,0.000534512409170433
genero_feminino,0.0005209475104766743
etnia_outra,0.00012281785953367945
periodo_3_bolsa_n_remunerada,0.00010228444557095631
periodo_2_disciplinas_ri,9.91336476080493e-05
periodo_1_bolsa_n_remunerada,3.266160741275621e-05
cota_pcd,3.0365952533854366e-05
tipo_ingresso_outros,0.0
tipo_ingresso_vestibular,0.0
genero_outros,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
