NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
606.05,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,1
698.02,0,1,0,0,0,0,1,0,0,0,1,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
642.26,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
706.42,0,1,0,0,0,1,0,0,0,0,1,0,22,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
669.62,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0
605.8,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1
599.25,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,6,1,0,0,0,0,0,1,1,0,0,0
708.3,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,1,0
590.7,0,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
315.9,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
669.0,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1,0,0,0
336.5,1,0,0,0,1,0,1,0,0,0,1,0,7,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0
645.18,0,1,0,0,1,0,1,0,0,1,0,0,2,1,3,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0
478.2,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,1,0,0,0
650.3,0,1,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0
636.04,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0
644.02,0,1,0,0,1,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
643.38,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0
727.12,0,1,0,0,0,0,1,0,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
620.04,0,1,0,0,1,0,1,1,0,1,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
510.35,1,0,0,0,0,0,1,0,0,0,1,0,15,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,1,0,0,0
616.75,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,0,0,0
803.4,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
626.12,0,1,0,0,1,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
429.75,1,0,0,0,0,0,1,1,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0
690.8,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
582.85,1,0,0,0,0,1,0,0,0,0,1,0,10,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
651.05,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
703.5,0,1,0,0,0,1,0,0,0,0,1,0,3,1,1,2,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0
620.86,0,1,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
514.5,0,1,0,0,1,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0
605.44,0,1,0,0,1,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1
271.1,1,0,0,0,0,1,0,0,0,0,1,0,9,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
613.25,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
665.92,0,1,0,0,1,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0
365.5,1,0,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0,0,0
627.7,1,0,0,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
659.38,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
611.06,0,1,0,0,1,0,1,0,0,0,1,0,11,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
724.72,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
642.96,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0
415.7,1,0,0,0,0,0,1,1,0,0,1,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
436.45,1,0,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0
636.44,0,1,0,0,1,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
646.24,0,1,0,0,1,0,1,0,0,0,1,0,5,0,0,2,0,0,0,0,7,0,0,1,0,0,0,1,0,0,1,0
