nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
541.2,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
657.28,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1
604.28,0,1,0,0,1,0,1,0,0,1,0,0,16,0,1,0,0,0,0,0,9,0,0,1,0,0,1,0,0,0,1,0
352.9,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,8,0,0,1,0,0,0,1,0,1,0,0
413.15,1,0,0,0,0,0,1,1,0,1,0,0,4,3,0,0,0,0,1,1,8,1,0,0,0,0,1,1,1,0,0,0
474.05,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
698.02,0,1,0,0,0,0,1,0,0,0,1,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
492.6,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,1,0,0,0
643.38,0,1,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0
659.38,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
447.6,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0
709.96,0,1,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
535.38,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,1
644.02,0,1,0,0,1,0,1,0,0,0,1,0,14,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
641.0,0,1,0,0,1,0,1,0,0,0,1,0,7,0,3,0,0,0,0,0,3,1,6,3,0,0,0,0,0,0,1,0
669.16,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0
598.94,0,1,0,0,0,1,0,0,0,0,1,0,5,0,1,0,0,0,0,1,3,1,0,2,0,0,0,1,0,0,1,0
670.78,0,1,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0
717.64,0,1,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
648.0,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,1,0,0,0
333.1,1,0,0,0,1,0,1,1,0,0,1,0,15,2,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0
