feature,importancia_media
periodo_2_disciplinas_aprovadas,0.0697906281495278
periodo_1_disciplinas_aprovadas,0.06024780723341549
nota_ingresso,0.058426276871666655
periodo_2_disciplinas_ri,0.028073513016743188
periodo_2_disciplinas_reprovadas,0.01805794007633482
periodo_1_disciplinas_ri,0.012403965998269683
cota_racial,0.007455447249433971
etnia_preta,0.005293196706016743
etnia_parda,0.003978986796571585
periodo_1_disciplinas_reprovadas,0.0022561661020483515
periodo_1_ae,0.0005978214381344611
cota_escola_publica,0.00042120257588017506
cota_ampla_concorrencia,0.0
cota_renda,0.0
tipo_ingresso_outros,0.0
tipo_ingresso_pism,0.0
tipo_ingresso_sisu,0.0
periodo_1_disciplinas_trancadas,0.0
genero_masculino,0.0
genero_feminino,0.0
genero_outros,0.0
cota_pcd,0.0
tipo_ingresso_vestibular,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_remunerada,0.0
periodo_2_ae,0.0
periodo_2_bolsa_n_remunerada,0.0
etnia_outra,0.0
etnia_branca,0.0
