nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
472.6,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1
620.5,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
718.36,0,1,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,1,0
669.62,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0
659.38,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
648.0,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,1,11,0,0,0,0,0,0,1,1,0,0,0
627.16,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,1
733.74,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
525.9,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0
657.28,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1
447.6,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0
218.65,1,0,0,0,1,0,1,1,0,0,1,0,4,2,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,0,1,0
368.0,1,0,0,0,1,0,1,0,0,0,1,0,13,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0
715.88,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0
441.85,1,0,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1
662.36,0,1,0,0,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0
676.84,0,1,0,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
638.1,1,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0
603.56,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0
594.32,0,1,0,0,1,0,1,1,0,0,1,0,10,2,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,1
681.6,0,1,0,0,0,1,0,0,0,0,1,0,14,1,0,0,0,0,0,0,6,1,0,2,0,1,0,1,1,0,0,0
730.18,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
613.52,0,1,0,0,0,0,1,0,0,0,1,0,11,2,0,0,0,0,0,0,8,3,0,0,0,0,0,0,1,0,0,0
534.36,0,1,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1
803.4,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
609.52,0,1,0,0,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
626.12,0,1,0,0,1,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
689.06,0,1,0,0,1,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
640.68,0,1,0,0,1,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
759.85,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0
280.1,1,0,0,0,1,0,1,0,0,0,1,0,5,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,1
706.42,0,1,0,0,0,1,0,0,0,0,1,0,22,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
675.28,0,1,0,0,1,0,1,1,0,0,1,0,12,3,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,1,0
589.6,1,0,0,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0
510.7,1,0,0,0,1,0,1,1,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
