NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
678.68,0,1,0,0,0,0,1,1,0,0,1,0,7,2,1,0,0,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0
579.9,1,0,0,0,0,1,0,0,0,1,0,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,0,0
636.04,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0
483.3,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
635.88,0,1,0,0,0,1,0,0,0,0,1,0,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
554.9,1,0,0,0,0,1,0,0,0,1,0,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
642.26,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
367.0,1,0,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
610.46,0,1,0,0,0,1,0,0,0,0,1,0,6,0,1,0,0,0,0,0,6,0,0,2,0,0,0,0,1,0,0,0
557.8,1,0,0,0,1,0,1,1,0,0,1,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
506.1,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,1,0,0,0
641.42,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
407.4,1,0,0,0,1,0,1,0,0,0,1,0,12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1
648.52,0,1,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
363.6,1,0,0,0,1,0,1,0,0,1,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1
664.68,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,3,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0
598.94,0,1,0,0,0,1,0,0,0,0,1,0,5,0,1,0,0,0,0,1,3,1,0,2,0,0,0,1,0,0,1,0
388.0,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
748.94,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
424.95,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,6,1,0,0,0,0,1,1,1,0,0,0
347.9,1,0,0,0,1,0,1,1,0,0,1,0,4,2,0,0,0,0,0,1,5,1,0,1,0,0,0,1,0,0,0,1
505.5,1,0,0,0,0,1,0,0,0,1,0,0,6,3,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
613.52,0,1,0,0,0,0,1,0,0,0,1,0,11,2,0,0,0,0,0,0,8,3,0,0,0,0,0,0,1,0,0,0
697.76,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,0,1,0
181.0,1,0,0,0,0,0,1,1,0,0,1,0,9,5,0,0,0,0,0,0,5,5,0,0,0,0,0,1,1,0,0,0
644.58,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
261.2,1,0,0,0,1,0,1,1,0,0,1,0,14,1,0,0,0,0,0,0,6,4,0,0,0,0,0,1,0,0,1,0
613.8,0,1,0,0,1,0,1,0,0,1,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1
622.04,0,1,0,0,1,0,1,0,0,0,1,0,8,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0
658.94,0,1,0,0,0,0,1,0,0,0,1,0,4,2,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
271.5,1,0,0,0,1,0,1,1,0,0,1,0,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0
722.28,0,1,0,0,0,1,0,0,0,1,0,0,14,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
715.86,0,1,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0
429.75,1,0,0,0,0,0,1,1,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,1,0,0,0
606.6,0,1,0,0,0,0,1,1,0,0,1,0,0,3,0,0,0,0,0,1,2,2,0,2,0,0,0,1,1,0,0,0
611.7,0,1,0,0,0,0,1,0,0,0,1,0,10,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
464.9,1,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1
548.2,1,0,0,0,0,1,0,0,0,0,1,0,10,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
478.2,1,0,0,0,0,1,0,0,0,0,1,0,15,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,1,0,0,0
593.42,0,1,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0
687.7,0,1,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
555.95,1,0,0,0,0,1,0,0,0,0,1,0,11,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
514.5,0,1,0,0,1,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0
535.38,0,1,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,0,1
