feature,importancia_media
periodo_4_disciplinas_aprovadas,0.06082557248187124
periodo_3_disciplinas_aprovadas,0.04945108473476293
NOTA_INGRESSO,0.047260266734013796
periodo_1_disciplinas_aprovadas,0.03494805674006564
periodo_3_bolsa_n_remunerada,0.032278116978319386
periodo_4_disciplinas_ri,0.020147199599773735
periodo_2_disciplinas_aprovadas,0.018791252059478798
periodo_4_disciplinas_trancadas,0.011232124754028194
periodo_2_disciplinas_trancadas,0.009730147126093634
periodo_3_disciplinas_reprovadas,0.009546072376403127
etnia_PRETA,0.009084959837608807
cota_ampla_concorrencia,0.00875067063056201
periodo_4_bolsa_n_remunerada,0.008633897121990497
periodo_4_disciplinas_reprovadas,0.00808866170154203
periodo_2_disciplinas_reprovadas,0.007262135369771545
TIPO_INGRESSO_PISM,0.006297966221262918
periodo_3_AE,0.006107913822535999
periodo_1_AE,0.004250845996717642
etnia_PARDA,0.0034337709566456963
TIPO_INGRESSO_SISU,0.002634227293220836
periodo_2_disciplinas_ri,0.002386148765923009
periodo_1_disciplinas_ri,0.002317629511851951
cota_escola_publica,0.002264207003219506
periodo_3_disciplinas_trancadas,0.001929083788723551
periodo_1_disciplinas_reprovadas,0.0018276255663947066
cota_racial,0.0017448089117801594
periodo_4_AE,0.0017387321867365303
periodo_4_bolsa_remunerada,0.0013152810868923433
periodo_3_bolsa_remunerada,0.0012526380827584374
etnia_BRANCA,0.0010158772980515063
cota_renda,0.0009208388092725187
genero_masculino,0.000880570982158603
periodo_2_AE,0.0008522693667120585
periodo_3_disciplinas_ri,0.0005451716751308507
genero_feminino,0.0005126024786741326
etnia_OUTRA,0.00015808156209428637
periodo_2_bolsa_n_remunerada,0.00015318127127519082
periodo_2_bolsa_remunerada,6.017091684504826e-05
periodo_1_disciplinas_trancadas,4.3275067052582794e-05
periodo_1_bolsa_remunerada,2.989300958390876e-06
TIPO_INGRESSO_VESTIBULAR,0.0
cota_pcd,0.0
genero_outros,0.0
TIPO_INGRESSO_OUTROS,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_disciplinas_outros_status,0.0
