nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
662.76,0,1,0,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0
688.38,0,1,0,0,0,1,0,0,0,0,1,0,11,1,0,0,0,0,0,0,10,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,1,0,0,0
603.56,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,0
759.85,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,4,1,2,0,0,0,0,0,3,2,2,0,0,0,0,0,1,0,0,0
653.14,0,1,0,0,0,1,0,0,0,0,1,0,18,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0
690.86,0,1,0,0,0,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,6,1,2,1,0,0,0,0,3,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
589.6,1,0,0,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,9,0,0,0,0,0,1,1,9,0,0,1,0,0,1,1,1,0,0,0
464.9,1,0,0,0,0,1,0,0,0,0,1,0,5,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1
803.4,1,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,9,0,0,1,0,1,0,0,1,0,0,0
703.24,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0
608.36,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,1,0,1,0,0,1,0,8,0,0,0,0,1,0,1,1,0,0,0
500.3,1,0,0,0,0,1,0,0,0,0,1,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
441.4,1,0,0,0,1,0,1,1,0,0,1,0,14,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
414.8,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,8,0,0,0,0,0,0,1,5,0,0,1,0,1,0,1,1,0,0,0
677.08,0,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
661.48,0,1,0,0,1,0,1,1,0,0,1,0,4,2,0,0,0,0,0,1,6,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,1
632.75,1,0,0,0,0,1,0,0,0,1,0,0,2,4,0,0,0,0,0,0,5,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0
691.9,0,1,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0
681.6,0,1,0,0,0,1,0,0,0,0,1,0,14,1,0,0,0,0,0,0,6,1,0,2,0,1,0,1,9,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0
0.0,0,1,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,7,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,1,0,0,0
473.8,1,0,0,0,1,0,1,1,0,0,1,0,14,0,0,0,0,0,0,1,11,0,0,0,0,0,1,1,10,0,0,0,0,0,1,1,7,0,0,0,0,0,1,1,0,0,1,0
429.45,1,0,0,0,0,0,1,1,0,1,0,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0
464.6,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
555.95,1,0,0,0,0,1,0,0,0,0,1,0,11,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
590.7,0,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
645.24,0,1,0,0,1,0,1,1,0,0,1,0,9,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0
611.06,0,1,0,0,1,0,1,0,0,0,1,0,11,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,7,0,0,2,0,0,1,0,0,0,1,0
462.3,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,6,0,0,1,0,1,0,1,6,0,0,0,0,1,0,1,1,0,0,0
291.9,1,0,0,0,1,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0
628.68,0,1,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,0,0,1,8,0,0,2,0,0,0,1,3,1,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0
460.2,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
323.85,1,0,0,0,1,0,1,0,0,0,1,0,14,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0
299.4,1,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0
707.34,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
619.62,0,1,0,0,1,0,1,0,0,0,1,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1
753.84,0,1,0,0,0,1,0,0,0,0,1,0,3,1,0,4,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
664.04,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0
