nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
720.94,0,1,0,0,0,0,1,1,0,0,1,0,5,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
707.84,0,1,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,1
749.84,0,1,0,0,0,1,0,0,0,1,0,0,5,2,1,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
783.46,0,1,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
695.28,0,1,0,0,0,1,0,0,0,1,0,0,1,2,3,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
752.95,1,0,0,0,1,0,1,1,0,1,0,0,3,4,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,1
750.58,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
719.1,1,0,0,0,0,1,0,0,0,1,0,0,9,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0
638.2,1,0,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0
758.1,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,1,0,0,3,2,0,1,0,1,0,0,1,0,0,0
722.74,0,1,0,0,0,1,0,0,0,1,0,0,8,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
702.42,0,1,0,0,0,0,1,1,0,0,1,0,6,2,0,0,0,0,0,1,6,1,0,0,0,0,0,1,1,0,0,0
791.14,0,1,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,1,0,0,0
613.52,0,1,0,0,1,0,1,1,0,0,1,0,7,1,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,1,0
936.7,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
725.18,0,1,0,0,0,0,1,0,0,0,1,0,6,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
868.8,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0
726.52,0,1,0,0,0,1,0,0,0,1,0,0,3,3,1,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
926.15,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
699.0,1,0,0,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0
