NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_AE,etnia_BRANCA,etnia_OUTRA,etnia_PARDA,etnia_PRETA
816.25,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0
678.6,0,1,0,0,1,0,1,0,0,1,0,0,6,2,0,1,0,0,0,0,4,2,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0
886.15,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0
721.9,1,0,0,0,0,1,0,0,0,1,0,0,6,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,2,0,1,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0,0
296.35,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,1,0,0
727.4,0,1,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,1,0
757.2,1,0,0,0,0,0,1,1,0,1,0,0,1,6,1,0,0,0,0,0,4,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0
894.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
705.06,0,1,0,0,0,1,0,0,0,0,1,0,30,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
714.7,1,0,0,0,0,1,0,0,0,0,1,0,4,1,2,0,0,0,0,0,4,2,1,0,0,0,0,0,6,2,0,0,0,0,0,0,3,5,0,1,0,0,0,0,1,0,0,0
316.4,1,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0
875.7,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0
818.0,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0
697.96,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0
695.5,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0
781.08,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,1,0,0,0
758.1,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,1,0,0,3,2,0,1,0,1,0,0,8,0,0,0,0,0,0,0,6,1,0,2,0,1,0,0,1,0,0,0
