nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
831.55,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0
708.96,0,1,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
744.66,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
562.6,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0
705.4,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
670.3,1,0,0,0,0,0,1,1,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,1,0,0,0
923.0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
680.4,0,1,0,0,1,0,1,1,0,0,1,0,6,1,0,1,0,0,0,0,5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0
681.1,0,1,0,0,1,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,8,2,1,0,0,0,0,1,5,3,0,1,0,0,0,1,6,1,1,1,0,0,0,1,0,0,1,0
953.8,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0
748.36,0,1,0,0,0,1,0,0,0,1,0,0,6,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,0
987.15,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,1,0,0,0,0,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0
911.4,1,0,0,0,0,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,1,0,0,0
452.9,1,0,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0
830.9,1,0,0,0,0,1,0,0,0,0,1,0,12,0,0,1,0,0,0,0,5,3,0,0,0,1,0,0,7,1,0,0,0,1,0,0,8,0,0,0,0,1,0,0,1,0,0,0
697.82,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,1
894.4,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
688.56,0,1,0,0,1,0,1,0,0,1,0,0,22,0,0,2,0,0,0,0,4,0,2,2,0,1,0,1,5,3,0,0,0,0,1,1,6,0,0,0,0,0,1,1,0,0,1,0
1026.2,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
1013.9,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0
883.7,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0
940.3,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,1,0,0,0
715.5,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0
682.55,1,0,0,0,0,0,1,1,0,1,0,0,7,1,0,0,0,0,0,0,4,0,0,2,0,0,0,0,6,2,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,0,0
744.3,0,1,0,0,0,0,1,1,0,0,1,0,9,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6,0,0,1,0,0,0,1,1,0,0,0
622.0,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,1,4,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0
745.75,1,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
761.15,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
722.62,0,1,0,0,0,1,0,0,0,1,0,0,5,4,0,0,0,0,0,0,5,4,0,1,0,0,0,0,7,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
762.3,0,1,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
694.54,0,1,0,0,1,0,1,0,0,0,1,0,23,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0
976.3,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
870.2,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
705.04,0,1,0,0,1,0,1,1,0,0,1,0,5,2,0,0,0,0,0,1,5,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,1,0
881.75,1,0,0,0,0,1,0,0,0,0,1,0,8,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
697.96,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0
699.0,1,0,0,0,0,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,4,2,0,1,0,0,0,0,6,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0
1016.0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,1,0,0,0
804.75,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
1038.0,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,1,0,0,0
696.65,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
757.7,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
709.42,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,3,4,0,1,0,0,0,0,0,0,1,0
760.78,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,1,0
804.7,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
743.8,1,0,0,0,0,1,0,0,0,1,0,0,8,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
779.6,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,1,0,0,0
