nota_ingresso,tipo_ingresso_pism,tipo_ingresso_sisu,tipo_ingresso_vestibular,tipo_ingresso_outros,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_ae,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_ae,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_ae,periodo_4_disciplinas_aprovadas,periodo_4_disciplinas_reprovadas,periodo_4_disciplinas_ri,periodo_4_disciplinas_trancadas,periodo_4_disciplinas_outros_status,periodo_4_bolsa_remunerada,periodo_4_bolsa_n_remunerada,periodo_4_ae,etnia_branca,etnia_outra,etnia_parda,etnia_preta
369.5,1,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0
927.4,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
630.8,1,0,0,0,1,0,1,1,0,1,0,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,8,0,0,0,0,0,0,1,5,2,0,0,0,0,0,1,0,0,1,0
1013.8,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,3,1,0,0,0,0,0,1,0,0,0
976.3,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
778.58,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
719.82,0,1,0,0,0,1,0,0,0,1,0,0,27,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
717.82,0,1,0,0,0,1,0,0,0,1,0,0,31,0,0,0,0,0,0,0,5,1,2,1,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0
728.76,0,1,0,0,0,1,0,0,0,1,0,0,6,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
787.55,1,0,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,4,0,4,0,0,0,0,0,2,3,3,0,0,0,0,0,0,1,0,0
715.34,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,0,0
733.66,0,1,0,0,0,1,0,0,0,1,0,0,5,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,2,5,2,0,0,0,0,0,1,0,0,0
753.6,1,0,0,0,0,0,1,0,0,1,0,0,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0
749.6,0,1,0,0,0,1,0,0,0,1,0,0,5,4,0,0,0,0,0,0,3,3,0,1,0,0,0,0,5,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0
733.68,0,1,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
974.6,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0
734.44,0,1,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,1,2,2,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
637.9,1,0,0,0,0,0,1,1,0,1,0,0,6,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,7,0,0,0,0,0,1,0,6,1,0,0,0,0,1,0,1,0,0,0
697.46,0,1,0,0,0,1,0,0,0,1,0,0,28,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
472.1,1,0,0,0,1,0,1,1,0,1,0,0,6,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,7,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
953.8,1,0,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0
640.68,0,1,0,0,1,0,1,1,0,0,1,0,1,9,0,0,0,0,0,0,3,4,0,0,0,0,0,1,3,5,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,1,0
878.2,1,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
672.86,0,1,0,0,1,0,1,1,0,1,0,0,0,0,2,5,0,0,0,0,7,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,1,0
729.26,0,1,0,0,0,1,0,0,0,0,1,0,5,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,1,0,0,0
704.05,1,0,0,0,0,1,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0
422.6,1,0,0,0,1,0,1,1,0,0,1,0,6,4,0,0,0,0,0,1,6,0,0,1,0,0,0,1,5,1,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0
765.44,0,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,5,0,0,0,0,1,0,0,1,0,0,0
987.15,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,1,0,0,0,0,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,0,0
981.05,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,1,0,0,0
