feature,importancia_media
periodo_3_disciplinas_aprovadas,0.14010504307253038
periodo_4_disciplinas_aprovadas,0.13832901934306271
NOTA_INGRESSO,0.07854160179891496
TIPO_INGRESSO_PISM,0.06981415208050913
periodo_1_disciplinas_aprovadas,0.024496274634288523
periodo_2_disciplinas_ri,0.0222484960259285
periodo_1_disciplinas_reprovadas,0.019158153790489435
periodo_4_disciplinas_trancadas,0.018258372948801897
periodo_4_disciplinas_reprovadas,0.01252901967986096
periodo_2_disciplinas_aprovadas,0.009027447282638358
periodo_2_disciplinas_reprovadas,0.00782794834637074
periodo_3_disciplinas_trancadas,0.006771094609259334
cota_racial,0.006381078432027063
periodo_2_AE,0.005318485670812247
periodo_3_disciplinas_ri,0.00498384502835151
genero_masculino,0.0045253786917287715
genero_feminino,0.004476951918665664
periodo_3_disciplinas_reprovadas,0.003402408062834738
etnia_PRETA,0.0023662808022210046
periodo_4_bolsa_remunerada,0.0017823602366342332
periodo_2_bolsa_remunerada,0.0013995680732414905
periodo_4_disciplinas_ri,0.0003572158197970265
periodo_1_disciplinas_ri,0.0
periodo_1_disciplinas_trancadas,0.0
cota_renda,0.0
TIPO_INGRESSO_SISU,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
cota_pcd,0.0
genero_outros,0.0
TIPO_INGRESSO_OUTROS,0.0
cota_ampla_concorrencia,0.0
cota_escola_publica,0.0
periodo_2_disciplinas_trancadas,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_2_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_1_AE,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_3_AE,0.0
periodo_3_bolsa_n_remunerada,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_3_bolsa_remunerada,0.0
periodo_4_bolsa_n_remunerada,0.0
periodo_4_disciplinas_outros_status,0.0
periodo_4_AE,0.0
etnia_BRANCA,0.0
etnia_OUTRA,0.0
etnia_PARDA,0.0
