feature,importancia_media
periodo_3_disciplinas_aprovadas,0.15118399315477715
periodo_4_disciplinas_aprovadas,0.11435987104856817
NOTA_INGRESSO,0.04551847800655178
TIPO_INGRESSO_PISM,0.040365884821342804
periodo_4_disciplinas_trancadas,0.018711609082702682
periodo_1_disciplinas_aprovadas,0.01837821832463479
periodo_1_disciplinas_reprovadas,0.017556908980672248
genero_masculino,0.010553398992148898
periodo_2_disciplinas_aprovadas,0.008789718984745057
periodo_2_disciplinas_ri,0.008319978291097013
periodo_4_bolsa_remunerada,0.00719495904595371
etnia_BRANCA,0.00712443864511085
periodo_4_disciplinas_reprovadas,0.006474988139751082
cota_racial,0.005516054221557009
periodo_2_disciplinas_reprovadas,0.005304016850524765
periodo_3_disciplinas_reprovadas,0.005082365350039036
etnia_OUTRA,0.00444764502376967
periodo_3_disciplinas_ri,0.004262496109133549
periodo_2_bolsa_remunerada,0.004107314103077664
periodo_3_disciplinas_trancadas,0.003295685446569609
periodo_1_disciplinas_ri,0.00292177378076615
periodo_4_bolsa_n_remunerada,0.002415535928752319
etnia_PARDA,0.002396810306672388
periodo_2_disciplinas_trancadas,0.0022065415486407463
periodo_2_AE,0.0021930963538144576
periodo_3_bolsa_n_remunerada,0.002189971783756342
cota_ampla_concorrencia,0.0021857971656831917
etnia_PRETA,0.0014702531779822257
periodo_3_bolsa_remunerada,0.001445791877208053
periodo_3_AE,0.00011511207748473448
periodo_2_bolsa_n_remunerada,9.914906696511182e-05
TIPO_INGRESSO_SISU,0.0
cota_renda,0.0
periodo_1_disciplinas_trancadas,0.0
cota_pcd,0.0
genero_feminino,0.0
genero_outros,0.0
TIPO_INGRESSO_OUTROS,0.0
TIPO_INGRESSO_VESTIBULAR,0.0
cota_escola_publica,0.0
periodo_1_AE,0.0
periodo_2_disciplinas_outros_status,0.0
periodo_1_bolsa_n_remunerada,0.0
periodo_1_bolsa_remunerada,0.0
periodo_1_disciplinas_outros_status,0.0
periodo_4_disciplinas_ri,0.0
periodo_3_disciplinas_outros_status,0.0
periodo_4_AE,0.0
periodo_4_disciplinas_outros_status,0.0
